WELLNAME = well116
STDEP  =  3500.0000    
ENDEP  =  5129.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, DEN, GR, R1, RT, SP

#DEPTH       AC           CAL          CNL          DEN          GR           R1           RT           SP           
3500.0000    51.7619      23.7458      -99999.0000  -99999.0000  -99999.0000  30.6101      2785.7258    124.8716     
3500.1250    51.5398      23.7398      -99999.0000  -99999.0000  -99999.0000  30.8260      2990.8655    125.0545     
3500.2500    51.7419      23.6196      -99999.0000  -99999.0000  -99999.0000  31.0166      3181.2261    125.3880     
3500.3750    51.8765      23.4676      -99999.0000  -99999.0000  -99999.0000  31.2134      3364.5161    125.7137     
3500.5000    51.6543      23.4108      -99999.0000  -99999.0000  -99999.0000  31.3976      2843.5654    126.0552     
3500.6250    51.7792      23.5762      -99999.0000  -99999.0000  -99999.0000  31.5818      2401.2332    126.3809     
3500.7500    52.0392      23.7289      -99999.0000  -99999.0000  -99999.0000  31.7724      2196.9385    126.5796     
3500.8750    52.0485      23.9513      -99999.0000  -99999.0000  -99999.0000  31.9121      2043.3762    126.3578     
3501.0000    51.7974      24.0532      -99999.0000  -99999.0000  -99999.0000  32.0456      2030.8677    125.8663     
3501.1250    51.6235      24.0472      -99999.0000  -99999.0000  -99999.0000  32.1346      2100.2900    125.2797     
3501.2500    51.6134      23.9841      -99999.0000  -99999.0000  -99999.0000  32.1537      2205.9512    124.7485     
3501.3750    51.8638      23.8702      -99999.0000  -99999.0000  -99999.0000  32.1412      2371.8965    124.3124     
3501.5000    52.1623      23.7817      -99999.0000  -99999.0000  -99999.0000  32.2683      2584.5918    123.6147     
3501.6250    52.2390      23.7059      -99999.0000  -99999.0000  -99999.0000  32.5096      2885.1328    122.9645     
3501.7500    52.1422      23.6491      -99999.0000  -99999.0000  -99999.0000  32.6874      3486.7607    122.4095     
3501.8750    51.9779      23.5987      -99999.0000  -99999.0000  -99999.0000  32.8843      3451.1614    121.7276     
3502.0000    51.8908      23.5673      -99999.0000  -99999.0000  -99999.0000  33.0622      1938.6293    120.9981     
3502.1250    52.1411      23.5613      -99999.0000  -99999.0000  -99999.0000  33.2908      1479.3285    120.3876     
3502.2500    52.4686      23.5617      -99999.0000  -99999.0000  -99999.0000  33.4623      1182.1056    119.7215     
3502.3750    52.8443      23.5429      -99999.0000  -99999.0000  -99999.0000  33.2594      1023.2916    119.3094     
3502.5000    52.7668      23.5370      -99999.0000  -99999.0000  -99999.0000  33.0437      937.7891     119.2542     
3502.6250    52.2649      23.5373      -99999.0000  -99999.0000  -99999.0000  33.2850      1010.2697    119.3815     
3502.7500    51.9270      23.5186      -99999.0000  -99999.0000  -99999.0000  33.4946      1189.9651    119.6120     
3502.8750    51.6856      23.5316      -99999.0000  -99999.0000  -99999.0000  33.4503      1373.7087    119.9138     
3503.0000    51.9455      23.5764      -99999.0000  -99999.0000  -99999.0000  33.3045      1554.5620    120.2553     
3503.1250    52.1959      23.6277      -99999.0000  -99999.0000  -99999.0000  33.3618      1739.2252    120.5096     
3503.2500    52.1280      23.6407      -99999.0000  -99999.0000  -99999.0000  33.4761      1914.3652    120.7559     
3503.3750    51.7805      23.6790      -99999.0000  -99999.0000  -99999.0000  33.4065      1836.3132    120.7959     
3503.5000    51.4618      23.7302      -99999.0000  -99999.0000  -99999.0000  33.2353      1583.2101    120.3123     
3503.6250    51.1528      23.7623      -99999.0000  -99999.0000  -99999.0000  33.4068      1396.5637    119.7732     
3503.7500    51.0849      23.7689      -99999.0000  -99999.0000  -99999.0000  33.6354      1342.3618    119.2421     
3503.8750    51.4800      23.7503      -99999.0000  -99999.0000  -99999.0000  33.6292      1506.9894    118.6316     
3504.0000    51.4603      23.7443      -99999.0000  -99999.0000  32.4538      33.5785      1698.0696    118.0449     
3504.1250    51.2766      23.7065      -99999.0000  -99999.0000  34.9928      33.8833      1917.1318    117.4502     
3504.2500    51.2570      23.6561      -99999.0000  -99999.0000  33.8761      34.1754      2114.3721    116.8476     
3504.3750    51.6134      23.5676      -99999.0000  -99999.0000  31.9723      34.4358      2198.7102    116.2688     
3504.5000    51.9410      23.5044      -99999.0000  -99999.0000  35.3746      34.6390      2253.8286    115.7218     
3504.6250    51.8731      23.4540      -99999.0000  -99999.0000  35.2480      34.8550      2349.7192    115.2540     
3504.7500    51.6701      23.4036      -99999.0000  -99999.0000  34.3343      34.9884      2542.9604    115.0005     
3504.8750    51.5540      23.3341      -99999.0000  -99999.0000  30.4249      35.1155      2829.0342    115.0009     
3505.0000    51.6501      23.2774      -99999.0000  -99999.0000  29.9937      35.2172      3235.0596    115.1837     
3505.1250    51.7751      23.2460      -99999.0000  -99999.0000  31.6442      35.2935      3517.5317    115.5729     
3505.2500    51.8711      23.1829      -99999.0000  -99999.0000  31.8983      35.3444      3192.4692    115.9699     
3505.3750    51.5910      23.1642      -99999.0000  -99999.0000  29.7915      35.3382      3561.5513    116.4701     
3505.5000    51.4364      23.1645      -99999.0000  -99999.0000  32.6860      35.0718      4502.5864    116.9386     
3505.6250    51.2720      23.1267      -99999.0000  -99999.0000  34.6032      34.9323      5680.4004    117.3356     
3505.7500    51.3294      23.0954      -99999.0000  -99999.0000  34.9715      35.3513      4749.7168    117.6692     
3505.8750    51.4931      23.1085      -99999.0000  -99999.0000  34.4641      35.8465      3434.0762    117.6775     
3506.0000    51.7338      23.1341      -99999.0000  -99999.0000  37.8917      36.3290      2680.3008    117.3208     
3506.1250    52.0035      23.1599      -99999.0000  -99999.0000  38.7298      36.4688      2177.7080    116.6627     
3506.2500    52.2636      23.1095      -99999.0000  -99999.0000  40.8119      36.3293      1828.7803    115.9570     
3506.3750    52.5333      23.0908      -99999.0000  -99999.0000  39.6825      36.4691      1776.4421    115.3068     
3506.5000    52.3785      23.0911      -99999.0000  -99999.0000  40.3048      36.2535      1876.4424    114.6487     
3506.6250    52.1563      23.0915      -99999.0000  -99999.0000  37.2840      36.1457      1885.1621    114.0303     
3506.7500    51.9630      23.0918      -99999.0000  -99999.0000  36.7512      36.3616      1766.5250    113.6419     
3506.8750    51.7118      23.1112      -99999.0000  -99999.0000  35.8883      36.5458      1852.8960    113.2059     
3507.0000    51.4799      23.1369      -99999.0000  -99999.0000  34.0607      36.5904      2014.3345    112.8968     
3507.1250    51.2962      23.1436      -99999.0000  -99999.0000  34.2133      36.2859      2146.1621    112.6671     
3507.2500    51.4888      23.1630      -99999.0000  -99999.0000  36.4478      36.1210      2246.7124    112.4454     
3507.3750    51.6235      23.1697      -99999.0000  -99999.0000  37.9459      36.5020      2288.9980    112.4616     
3507.5000    51.7099      23.1891      -99999.0000  -99999.0000  34.1889      36.5339      2138.2498    112.7714     
3507.6250    51.7674      23.1958      -99999.0000  -99999.0000  30.7618      36.5467      2010.4634    113.3906     
3507.7500    51.7960      23.2342      -99999.0000  -99999.0000  30.4321      36.6801      2201.4136    114.1367     
3507.8750    51.8052      23.2473      -99999.0000  -99999.0000  28.7314      36.5914      2366.1909    114.8035     
3508.0000    51.7952      23.2667      -99999.0000  -99999.0000  30.6105      36.3186      2503.1504    115.6290     
3508.1250    51.7369      23.2924      -99999.0000  -99999.0000  30.1538      35.9380      3245.7373    116.4703     
3508.2500    51.6400      23.2991      -99999.0000  -99999.0000  32.5152      36.0587      4369.3857    117.3196     
3508.3750    51.5625      23.2994      -99999.0000  -99999.0000  34.5719      36.5095      4419.4033    118.0340     
3508.5000    51.4656      23.2999      -99999.0000  -99999.0000  29.7231      36.8777      3430.0603    118.1771     
3508.6250    51.3784      23.3001      -99999.0000  -99999.0000  31.3229      36.8906      2785.0532    117.7888     
3508.7500    51.3201      23.3195      -99999.0000  -99999.0000  34.2174      36.9161      2499.5420    117.2814     
3508.8750    51.2908      23.3262      -99999.0000  -99999.0000  36.6296      37.0051      2312.9395    116.7502     
3509.0000    51.3000      23.3265      -99999.0000  -99999.0000  33.1518      37.0878      2162.5671    116.2587     
3509.1250    51.3768      23.3650      -99999.0000  -99999.0000  34.7515      37.2022      2552.2544    115.7830     
3509.2500    51.4536      23.3780      -99999.0000  -99999.0000  33.4570      37.2975      3132.6963    115.2360     
3509.3750    51.5112      23.3783      -99999.0000  -99999.0000  33.3304      37.3929      3909.6223    114.7365     
3509.5000    51.4915      23.3787      -99999.0000  -99999.0000  34.9555      37.5199      3809.2051    114.3323     
3509.6250    51.4139      23.3981      -99999.0000  -99999.0000  34.1942      37.5709      3321.6992    113.9994     
3509.7500    51.4328      23.4048      -99999.0000  -99999.0000  33.5852      37.5456      2938.0898    113.7539     
3509.8750    51.5193      23.4051      -99999.0000  -99999.0000  35.7181      37.8123      2648.7095    113.5797     
3510.0000    51.6250      23.4055      -99999.0000  -99999.0000  34.4744      37.8950      2416.7300    113.5642     
3510.1250    51.7694      23.3868      -99999.0000  -99999.0000  36.6327      37.4699      2289.3062    113.7629     
3510.2500    51.8655      23.3808      -99999.0000  -99999.0000  34.0688      37.5462      2175.4722    114.1599     
3510.3750    51.7879      23.3621      -99999.0000  -99999.0000  36.6079      37.8446      2068.4360    114.6760     
3510.5000    51.6910      23.3180      -99999.0000  -99999.0000  35.0342      37.6353      1998.2666    115.1921     
3510.6250    51.6231      23.2866      -99999.0000  -99999.0000  37.5225      37.0706      1994.6675    115.6050     
3510.7500    51.5745      23.2235      -99999.0000  -99999.0000  35.7965      37.2294      2068.4253    116.0576     
3510.8750    51.5644      23.1667      -99999.0000  -99999.0000  38.3356      37.5977      1977.8979    116.5102     
3511.0000    51.6412      23.1163      -99999.0000  -99999.0000  38.6913      37.8771      1878.2184    116.9072     
3511.1250    51.7566      23.1039      -99999.0000  -99999.0000  41.6621      37.8201      1925.9653    116.6934     
3511.2500    51.9010      23.1233      -99999.0000  -99999.0000  39.6059      37.3696      2259.4773    116.1146     
3511.3750    52.0454      23.1681      -99999.0000  -99999.0000  36.9405      36.9762      2620.3882    115.5041     
3511.5000    52.0546      23.2382      -99999.0000  -99999.0000  35.0621      37.3445      3217.1445    114.9491     
3511.6250    51.8998      23.3338      -99999.0000  -99999.0000  33.6914      37.6366      3945.4404    114.3385     
3511.7500    51.7451      23.4357      -99999.0000  -99999.0000  33.0825      37.5162      7479.5708    113.8232     
3511.8750    51.5806      23.4996      -99999.0000  -99999.0000  34.2506      37.4148      3988.2461    113.3237     
3512.0000    51.5417      23.5507      -99999.0000  -99999.0000  32.2199      37.6752      2059.5164    112.7688     
3512.1250    51.7246      23.6018      -99999.0000  -99999.0000  30.6715      37.7705      1496.7534    112.3645     
3512.2500    51.8883      23.6529      -99999.0000  -99999.0000  30.5957      37.6500      1183.2241    111.8018     
3512.3750    52.0423      23.7040      -99999.0000  -99999.0000  32.1193      37.8089      1017.4872    111.6671     
3512.5000    52.1191      23.7742      -99999.0000  -99999.0000  29.8854      38.0058      970.7853     112.0324     
3512.6250    52.1284      23.8316      -99999.0000  -99999.0000  29.2764      37.9869      1054.6133    112.4374     
3512.7500    52.1087      23.8447      -99999.0000  -99999.0000  31.0031      37.7649      1162.3461    112.7948     
3512.8750    52.0504      23.8450      -99999.0000  -99999.0000  32.6029      37.6127      1266.9802    113.1918     
3513.0000    51.9439      23.8454      -99999.0000  -99999.0000  30.2929      37.7334      1372.2715    113.6286     
3513.1250    51.7215      23.8457      -99999.0000  -99999.0000  32.3242      37.6828      1476.4106    113.9780     
3513.2500    51.5088      23.8270      -99999.0000  -99999.0000  34.6603      37.4862      1482.0306    114.4147     
3513.3750    51.3444      23.8020      -99999.0000  -99999.0000  31.7663      37.3149      1455.8402    114.8673     
3513.5000    51.2475      23.7961      -99999.0000  -99999.0000  30.4210      37.4420      1569.8247    115.2644     
3513.6250    51.3243      23.7964      -99999.0000  -99999.0000  33.2649      37.1375      1463.3818    115.6218     
3513.7500    51.4687      23.7777      -99999.0000  -99999.0000  35.7278      37.1123      1226.4441    115.4238     
3513.8750    51.6517      23.7526      -99999.0000  -99999.0000  34.8650      37.3219      1082.0729    114.9958     
3514.0000    51.8636      23.7085      -99999.0000  -99999.0000  34.6114      37.4236      988.8453     114.6233     
3514.1250    51.9887      23.6391      -99999.0000  -99999.0000  34.5355      37.1318      915.7980     114.2507     
3514.2500    52.1041      23.5823      -99999.0000  -99999.0000  32.3270      36.8209      960.5110     113.9416     
3514.3750    52.0459      23.5509      -99999.0000  -99999.0000  28.7984      36.8782      1089.4727    113.6564     
3514.5000    51.7849      23.5259      -99999.0000  -99999.0000  30.7790      36.7767      1230.6067    113.4426     
3514.6250    51.4370      23.5198      -99999.0000  -99999.0000  30.3477      36.4976      1388.7697    113.1811     
3514.7500    51.1471      23.6154      -99999.0000  -99999.0000  32.4298      36.6755      1507.2739    113.0148     
3514.8750    51.2143      23.7808      -99999.0000  -99999.0000  31.6431      36.9739      1557.9575    112.9121     
3515.0000    51.3490      23.9779      -99999.0000  -99999.0000  33.6238      36.9360      1566.7181    112.8886     
3515.1250    51.4451      24.1813      -99999.0000  -99999.0000  35.4266      36.6251      1586.5957    113.0318     
3515.2500    51.5027      24.4800      -99999.0000  -99999.0000  37.1280      36.3016      1869.2448    113.3654     
3515.3750    51.4733      24.6200      -99999.0000  -99999.0000  35.2495      36.2065      2459.9724    113.8894     
3515.5000    51.3861      24.6203      -99999.0000  -99999.0000  35.0213      36.3019      3533.8286    114.5563     
3515.6250    51.2216      24.5953      -99999.0000  -99999.0000  32.6098      36.2385      6806.9058    115.0882     
3515.7500    51.0861      24.5513      -99999.0000  -99999.0000  29.0811      36.1117      6928.2852    115.5884     
3515.8750    51.1050      24.5389      -99999.0000  -99999.0000  31.7726      35.9088      4042.5515    116.0727     
3516.0000    51.1625      24.5202      -99999.0000  -99999.0000  34.3117      35.6995      2793.3669    116.4301     
3516.1250    51.1717      24.5142      -99999.0000  -99999.0000  36.0892      36.0423      2240.4583    116.4860     
3516.2500    51.1810      24.5146      -99999.0000  -99999.0000  34.3377      36.3598      1964.8713    116.1928     
3516.3750    51.1903      24.4959      -99999.0000  -99999.0000  34.4904      36.1378      1785.1448    115.7410     
3516.5000    51.1706      24.4519      -99999.0000  -99999.0000  33.5767      35.9539      2115.4500    115.4081     
3516.6250    51.1509      24.4394      -99999.0000  -99999.0000  35.6335      35.9287      2484.2681    115.0038     
3516.7500    51.1698      24.4017      -99999.0000  -99999.0000  31.6732      36.0748      2804.4585    114.5837     
3516.8750    51.2949      24.3893      -99999.0000  -99999.0000  33.3238      36.2844      3029.7983    114.0763     
3517.0000    51.3621      24.3707      -99999.0000  -99999.0000  34.8220      36.5257      2561.9575    113.6086     
3517.1250    51.4293      24.3647      -99999.0000  -99999.0000  35.7871      36.2593      1703.4214    113.2361     
3517.2500    51.5448      24.3459      -99999.0000  -99999.0000  35.5081      35.8913      1382.1388    112.9111     
3517.3750    51.8340      24.3400      -99999.0000  -99999.0000  34.6706      36.1326      1162.2511    112.7846     
3517.5000    51.7081      24.3403      -99999.0000  -99999.0000  36.7528      36.6088      1007.9385    112.8167     
3517.6250    51.3795      24.3407      -99999.0000  -99999.0000  34.4935      36.1202      921.2599     113.0233     
3517.7500    51.0991      24.3410      -99999.0000  -99999.0000  33.8337      35.7903      1068.0175    113.3966     
3517.8750    50.8767      24.3223      -99999.0000  -99999.0000  32.1584      36.1078      1239.1130    113.8095     
3518.0000    50.9052      24.2972      -99999.0000  -99999.0000  32.6157      36.4952      1384.8983    114.2224     
3518.1250    50.9628      24.2913      -99999.0000  -99999.0000  35.2310      36.1589      1484.8481    114.5878     
3518.2500    51.0396      24.2916      -99999.0000  -99999.0000  34.6982      36.1590      1568.8750    114.8420     
3518.3750    51.1454      24.3110      -99999.0000  -99999.0000  30.3570      36.1973      1744.8931    114.9218     
3518.5000    51.2223      24.3367      -99999.0000  -99999.0000  31.3221      36.0197      1921.9381    114.7396     
3518.6250    51.2895      24.3434      -99999.0000  -99999.0000  31.0432      36.2166      2122.0986    114.2243     
3518.7500    51.3373      24.3628      -99999.0000  -99999.0000  32.9730      36.3691      2341.8872    113.5979     
3518.8750    51.3756      24.3695      -99999.0000  -99999.0000  31.7039      36.1217      2467.2979    113.1063     
3519.0000    51.3945      24.3698      -99999.0000  -99999.0000  29.7778      36.1916      2327.2417    112.6386     
3519.1250    51.3941      24.3892      -99999.0000  -99999.0000  30.3081      35.8871      2586.3381    112.0677     
3519.2500    51.3937      24.4150      -99999.0000  -99999.0000  32.6950      35.8809      3095.4482    111.5127     
3519.3750    51.4029      24.4217      -99999.0000  -99999.0000  35.1580      36.1540      3993.4709    110.9974     
3519.5000    51.3930      24.4601      -99999.0000  -99999.0000  33.4319      36.4080      4848.1860    110.5376     
3519.6250    51.3926      24.4541      -99999.0000  -99999.0000  33.4322      36.2431      5758.5049    110.1650     
3519.7500    51.3922      24.4291      -99999.0000  -99999.0000  36.8346      36.2369      5783.2583    109.8639     
3519.8750    51.3918      24.4040      -99999.0000  -99999.0000  34.4230      35.8626      5487.7471    109.9119     
3520.0000    51.3817      24.3599      -99999.0000  -99999.0000  35.8959      35.6215      5774.8867    110.1661     
3520.1250    51.3910      24.3476      -99999.0000  -99999.0000  35.0583      36.1104      5994.0830    110.6188     
3520.2500    51.3810      24.3479      -99999.0000  -99999.0000  36.5820      36.5676      6128.2344    111.1269     
3520.3750    51.4096      24.3293      -99999.0000  -99999.0000  36.3538      36.3519      4391.7798    111.7778     
3520.5000    51.5540      24.3043      -99999.0000  -99999.0000  36.0240      36.3266      2826.2996    112.4526     
3520.6250    51.7854      24.2792      -99999.0000  -99999.0000  33.8409      36.9107      1826.4656    113.0242     
3520.7500    52.0360      24.3112      -99999.0000  -99999.0000  35.8724      37.3806      1416.7297    113.5879     
3520.8750    52.0743      24.3052      -99999.0000  -99999.0000  38.2339      37.1522      1225.3239    114.1595     
3521.0000    51.8036      24.2992      -99999.0000  -99999.0000  39.5544      36.8858      1124.2476    114.6597     
3521.1250    51.1851      24.2805      -99999.0000  -99999.0000  37.5236      36.6638      1106.4395    114.8029     
3521.2500    50.7792      24.3126      -99999.0000  -99999.0000  33.9187      36.7083      1243.3960    114.6684     
3521.3750    50.5664      24.3447      -99999.0000  -99999.0000  34.2998      36.2896      1370.0381    114.3831     
3521.5000    50.4984      24.3895      -99999.0000  -99999.0000  32.0913      36.2262      1502.0188    114.1375     
3521.6250    50.5656      24.4406      -99999.0000  -99999.0000  31.8885      36.7722      1634.3167    113.9158     
3521.7500    50.6328      24.5108      -99999.0000  -99999.0000  32.7520      37.1024      1755.4132    113.7654     
3521.8750    50.4779      24.6063      -99999.0000  -99999.0000  30.7720      37.0962      1773.8347    113.6388     
3522.0000    50.3520      24.7082      -99999.0000  -99999.0000  30.1883      36.8933      1560.1357    113.5360     
3522.1250    50.3129      24.7911      -99999.0000  -99999.0000  33.1592      37.0711      1414.8708    113.4650     
3522.2500    50.3994      24.8295      -99999.0000  -99999.0000  35.7999      37.3569      1448.7856    113.4733     
3522.3750    50.5536      24.8362      -99999.0000  -99999.0000  35.6988      37.5475      1535.5164    113.5530     
3522.5000    50.7367      24.7985      -99999.0000  -99999.0000  34.9881      37.1414      1537.3792    113.6724     
3522.6250    50.7363      24.7671      -99999.0000  -99999.0000  32.5765      36.6782      1404.5818    113.9188     
3522.7500    50.6103      24.7420      -99999.0000  -99999.0000  33.7955      36.8180      1237.4142    114.3000     
3522.8750    50.4844      24.6980      -99999.0000  -99999.0000  35.5984      36.9514      1081.0173    114.6891     
3523.0000    50.6481      24.6856      -99999.0000  -99999.0000  37.4267      36.6405      944.4583     115.2131     
3523.1250    50.8409      24.6669      -99999.0000  -99999.0000  36.4623      36.8311      863.6144     115.7371     
3523.2500    51.0337      24.6419      -99999.0000  -99999.0000  34.4568      37.0724      847.9739     116.1976     
3523.3750    51.2264      24.6359      -99999.0000  -99999.0000  36.3106      37.0472      900.1365     116.6423     
3523.5000    51.3419      24.6362      -99999.0000  -99999.0000  35.0922      36.8379      918.4022     116.9680     
3523.6250    51.3609      24.5985      -99999.0000  -99999.0000  34.7624      36.5397      846.9346     117.1588     
3523.7500    51.2156      24.5861      -99999.0000  -99999.0000  33.1886      36.5462      789.4791     117.1512     
3523.8750    51.0510      24.5674      -99999.0000  -99999.0000  33.4682      36.4765      747.7833     116.9453     
3524.0000    50.8865      24.5614      -99999.0000  -99999.0000  35.2712      36.2608      776.9495     116.6204     
3524.1250    50.7026      24.5808      -99999.0000  -99999.0000  32.7326      36.2102      786.8018     116.2240     
3524.2500    50.5863      24.5495      -99999.0000  -99999.0000  31.4888      36.1913      830.3800     115.7881     
3524.3750    50.7404      24.5371      -99999.0000  -99999.0000  32.3523      35.9820      894.7614     115.3679     
