WELLNAME = well118
STDEP  =  3000.0000    
ENDEP  =  4458.8371    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNC, CNL, DEN, GR, RT, SP

#DEPTH       AC           CAL          CNC          CNL          DEN          GR           RT           SP           
3000.0000    48.0326      -99999.0000  -99999.0000  -99999.0000  -99999.0000  20.4475      1264.3633    -99999.0000  
3000.1250    47.9939      -99999.0000  -99999.0000  -99999.0000  -99999.0000  18.9494      1268.7668    -99999.0000  
3000.2500    48.1868      -99999.0000  -99999.0000  -99999.0000  -99999.0000  17.7054      1269.5891    -99999.0000  
3000.3750    48.4183      -99999.0000  -99999.0000  -99999.0000  -99999.0000  17.8838      1263.6475    -99999.0000  
3000.5000    48.5340      -99999.0000  -99999.0000  -99999.0000  -99999.0000  18.3417      1263.6475    -99999.0000  
3000.6250    48.5436      -99999.0000  -99999.0000  -99999.0000  -99999.0000  17.6565      1269.5891    -99999.0000  
3000.7500    48.4760      -99999.0000  -99999.0000  -99999.0000  -99999.0000  16.5904      1266.6770    -99999.0000  
3000.8750    48.4084      -99999.0000  -99999.0000  -99999.0000  -99999.0000  15.6766      1274.9656    -99999.0000  
3001.0000    48.3023      -99999.0000  -99999.0000  -99999.0000  -99999.0000  17.4558      1278.5251    -99999.0000  
3001.1250    48.2347      -99999.0000  -99999.0000  -99999.0000  -99999.0000  17.9388      1280.9036    -99999.0000  
3001.2500    48.1575      -99999.0000  -99999.0000  -99999.0000  -99999.0000  19.0317      1274.9453    -99999.0000  
3001.3750    48.1189      -99999.0000  -99999.0000  -99999.0000  -99999.0000  20.1755      1275.5308    -99999.0000  
3001.5000    48.0995      -99999.0000  -99999.0000  -99999.0000  -99999.0000  20.7347      1281.5283    -99999.0000  
3001.6250    48.1188      -99999.0000  -99999.0000  -99999.0000  -99999.0000  21.5991      1293.5800    -99999.0000  
3001.7500    48.1766      -99999.0000  -99999.0000  -99999.0000  -99999.0000  22.4380      1293.5800    -99999.0000  
3001.8750    48.2730      -99999.0000  -99999.0000  -99999.0000  -99999.0000  22.7939      1293.5800    -99999.0000  
3002.0000    48.4177      -99999.0000  -99999.0000  -99999.0000  -99999.0000  18.4006      1287.5260    -99999.0000  
3002.1250    48.5816      -99999.0000  -99999.0000  -99999.0000  -99999.0000  17.1820      1275.5308    -99999.0000  
3002.2500    48.6587      -99999.0000  -99999.0000  -99999.0000  -99999.0000  18.7574      1267.5276    -99999.0000  
3002.3750    48.0896      -99999.0000  -99999.0000  -99999.0000  -99999.0000  20.1044      1263.0464    -99999.0000  
3002.5000    47.9545      -99999.0000  -99999.0000  -99999.0000  -99999.0000  20.8161      1268.9384    -99999.0000  
3002.6250    48.0509      -99999.0000  -99999.0000  -99999.0000  -99999.0000  21.4770      1268.9321    -99999.0000  
3002.7500    48.2245      -99999.0000  -99999.0000  -99999.0000  -99999.0000  21.1221      1263.0299    -99999.0000  
3002.8750    48.3691      -99999.0000  -99999.0000  -99999.0000  -99999.0000  22.4438      1242.0093    -99999.0000  
3003.0000    48.2974      -99999.0000  -99999.0000  -99999.0000  -99999.0000  23.0029      1222.4828    -99999.0000  
3003.1250    48.0056      -99999.0000  -99999.0000  -99999.0000  -99999.0000  23.5114      1216.7841    -99999.0000  
3003.2500    47.8495      -99999.0000  -99999.0000  -99999.0000  -99999.0000  21.7850      1231.6174    -99999.0000  
3003.3750    47.7419      -99999.0000  -99999.0000  -99999.0000  -99999.0000  20.2872      1245.4565    -99999.0000  
3003.5000    47.6634      -99999.0000  -99999.0000  -99999.0000  -99999.0000  19.8053      1257.1176    -99999.0000  
3003.6250    47.6236      -99999.0000  -99999.0000  -99999.0000  -99999.0000  21.5838      1268.8754    -99999.0000  
3003.7500    47.6034      -99999.0000  -99999.0000  -99999.0000  -99999.0000  22.7272      1271.2336    -99999.0000  
3003.8750    47.6703      -99999.0000  -99999.0000  -99999.0000  -99999.0000  22.5247      1264.1455    -99999.0000  
3004.0000    47.8052      -99999.0000  -99999.0000  -99999.0000  -99999.0000  20.5699      1247.7510    -99999.0000  
3004.1250    47.8528      -99999.0000  -99999.0000  -99999.0000  -99999.0000  19.9355      1225.8608    -99999.0000  
3004.2500    47.5512      -99999.0000  -99999.0000  -99999.0000  -99999.0000  19.2505      1189.8696    -99999.0000  
3004.3750    47.3757      -99999.0000  -99999.0000  -99999.0000  -99999.0000  18.5150      1139.9799    -99999.0000  
3004.5000    47.3069      -99999.0000  -99999.0000  -99999.0000  -99999.0000  18.1091      1065.2013    -99999.0000  
3004.6250    47.3836      -99999.0000  -99999.0000  -99999.0000  -99999.0000  17.3990      995.8315     -99999.0000  
