WELLNAME = well120
STDEP  =  3500.0000    
ENDEP  =  4473.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3500.0000    49.3041      23.3106      25.0876      49.0153      16.1370      1155.0952    596.8616     0.0000       81.7300      0.0000       0.0000       
3500.1250    49.5105      23.2901      26.8079      49.1295      16.1268      484.7594     526.4131     0.0000       81.8311      0.0000       0.0000       
3500.2500    49.6713      23.2636      26.9369      49.2186      16.1040      385.0519     457.1642     0.0000       81.9874      0.0000       0.0000       
3500.3750    49.6451      23.2558      29.6169      49.2041      16.0684      335.5138     434.5726     0.0000       82.1672      0.0000       0.0000       
3500.5000    49.5663      23.2544      31.8677      49.1604      16.0393      327.3202     419.4996     0.0000       82.3314      0.0000       0.0000       
3500.6250    49.4680      23.2531      29.9005      49.1060      16.0229      312.3194     373.6768     0.0000       82.5350      0.0000       0.0000       
3500.7500    49.3344      23.2326      27.4786      49.0321      16.0000      247.0297     343.3704     0.0000       82.6833      0.0000       0.0000       
3500.8750    49.2252      23.2247      25.9154      48.9716      15.9930      203.8522     324.4140     0.0000       82.8555      0.0000       0.0000       
3501.0000    49.1866      23.2045      26.8529      48.9502      15.9828      202.4443     299.7612     0.0000       83.0430      0.0000       0.0000       
3501.1250    49.2615      23.1969      28.4720      48.9917      15.9506      171.3883     265.0757     0.0000       83.1601      0.0000       0.0000       
3501.2500    49.3060      23.1762      27.6919      49.0164      15.9025      136.8591     243.7423     0.0000       83.3007      0.0000       0.0000       
3501.3750    49.3567      23.1688      30.3718      49.0444      15.8228      135.7944     252.9311     0.0000       83.4095      0.0000       0.0000       
3501.5000    49.3899      23.1670      26.8892      49.0628      15.7241      145.3208     264.4945     0.0000       83.5024      0.0000       0.0000       
3501.6250    49.4378      23.1468      26.7910      49.0893      15.5938      156.0338     275.7833     0.0000       83.5242      0.0000       0.0000       
3501.7500    49.4548      23.1391      28.9660      49.0987      15.3782      167.2214     290.3101     0.0000       83.4987      0.0000       0.0000       
3501.8750    49.4640      23.1380      28.8679      49.1038      15.1563      179.1440     300.4697     0.0000       83.4657      0.0000       0.0000       
3502.0000    49.4538      23.1367      28.1381      49.0982      14.9691      179.9708     287.9198     0.0000       83.4562      0.0000       0.0000       
3502.1250    49.4214      23.1162      27.1054      49.0802      14.8672      179.6559     293.8790     0.0000       83.4306      0.0000       0.0000       
3502.2500    49.4002      23.1084      23.7743      49.0685      14.8570      193.8382     319.9325     0.0000       83.3975      0.0000       0.0000       
3502.3750    49.4062      23.1259      24.8885      49.0718      14.8785      218.9684     318.7659     0.0000       83.3400      0.0000       0.0000       
3502.5000    49.4154      23.1311      22.8959      49.0769      14.9031      229.1588     326.5593     0.0000       83.2988      0.0000       0.0000       
3502.6250    49.4133      23.1485      24.1616      49.0757      14.8992      234.2254     341.3492     0.0000       83.2893      0.0000       0.0000       
3502.7500    49.4465      23.1536      25.4525      49.0942      14.8669      229.2654     337.1675     0.0000       83.2399      0.0000       0.0000       
3502.8750    49.5219      23.1902      24.8744      49.1359      14.8188      226.5544     322.4973     0.0000       83.1753      0.0000       0.0000       
3503.0000    49.6654      23.2014      25.7612      49.2153      14.7107      215.3253     304.7697     0.0000       83.1102      0.0000       0.0000       
3503.1250    49.8142      23.1811      24.6277      49.2977      14.5552      187.2561     276.4762     0.0000       83.0216      0.0000       0.0000       
3503.2500    49.9769      23.1353      24.8578      49.3878      14.3522      182.9376     265.8038     0.0000       82.9253      0.0000       0.0000       
3503.3750    50.1205      23.1209      24.5322      49.4673      14.1461      219.5197     286.7337     0.0000       82.7574      0.0000       0.0000       
3503.5000    50.1761      23.1200      23.2469      49.4981      13.9431      287.0888     328.4338     0.0000       82.5185      0.0000       0.0000       
3503.6250    50.1773      23.0997      23.3004      49.4987      13.7591      424.3285     431.3307     0.0000       82.3588      0.0000       0.0000       
3503.7500    50.1480      23.0535      25.1974      49.4825      13.7331      496.8907     547.7391     0.0000       82.2308      0.0000       0.0000       
3503.8750    50.0254      23.0396      27.1447      49.4146      14.0042      456.9511     523.1973     0.0000       82.1265      0.0000       0.0000       
3504.0000    49.8201      23.0386      28.9408      49.3010      14.4998      448.6461     485.4677     0.0000       82.0296      0.0000       0.0000       
3504.1250    49.5328      22.9990      27.2514      49.1419      14.8530      438.5628     465.7231     0.0000       82.0043      0.0000       0.0000       
3504.2500    49.2728      22.9850      24.9811      48.9980      14.8965      436.9815     461.5719     0.0000       82.0025      0.0000       0.0000       
3504.3750    49.0288      22.9458      27.1561      48.8629      14.8579      528.9856     516.3267     0.0000       82.0479      0.0000       0.0000       
3504.5000    48.8315      22.9316      27.9166      48.7537      14.8477      807.3560     622.1389     0.0000       82.0857      0.0000       0.0000       
3504.6250    48.6917      22.9113      26.2778      48.6763      14.8755      1059.5128    738.6177     0.0000       82.1160      0.0000       0.0000       
3504.7500    48.6018      22.8849      25.3965      48.6265      14.9412      1282.9182    841.0823     0.0000       82.1222      0.0000       0.0000       
3504.8750    48.5886      22.8578      24.9700      48.6192      15.0352      1697.6245    805.3277     0.0000       82.1205      0.0000       0.0000       
3505.0000    48.6218      22.8504      26.6903      48.6376      15.1072      718.1713     745.5237     0.0000       82.1661      0.0000       0.0000       
3505.1250    48.6697      22.8678      25.2793      48.6641      15.1603      604.0605     649.9573     0.0000       82.1802      0.0000       0.0000       
3505.2500    48.7958      22.8915      26.7968      48.7339      15.1722      529.7369     528.3890     0.0000       82.2733      0.0000       0.0000       
3505.3750    48.9476      22.8968      28.7949      48.8179      15.1431      435.0547     443.8742     0.0000       82.3980      0.0000       0.0000       
3505.5000    49.0996      22.9144      26.1458      48.9021      15.0855      390.4645     393.9127     0.0000       82.5701      0.0000       0.0000       
3505.6250    49.2270      22.9571      24.0777      48.9726      15.0311      403.3372     398.7041     0.0000       82.7342      0.0000       0.0000       
3505.7500    49.2857      22.9873      25.2171      49.0051      14.9988      422.6434     388.8571     0.0000       82.8903      0.0000       0.0000       
3505.8750    49.2756      23.0112      26.2555      48.9995      14.9728      364.6538     325.5634     0.0000       83.0229      0.0000       0.0000       
3506.0000    49.2079      23.0350      26.5107      48.9620      14.9562      425.6908     379.5995     0.0000       83.1240      0.0000       0.0000       
3506.1250    49.1288      23.0590      25.8820      48.9183      14.9430      662.2073     553.6968     0.0000       83.2172      0.0000       0.0000       
3506.2500    49.0227      23.0828      25.1020      48.8595      14.9391      1377.7784    611.4356     0.0000       83.3101      0.0000       0.0000       
3506.3750    48.9134      23.0875      24.2713      48.7990      14.9385      1543.2367    682.1012     0.0000       83.3797      0.0000       0.0000       
3506.5000    48.8152      23.1055      23.5164      48.7447      14.9757      1350.2996    776.1365     0.0000       83.4881      0.0000       0.0000       
3506.6250    48.7445      23.1484      25.4639      48.7055      15.0730      1217.4011    794.4817     0.0000       83.5656      0.0000       0.0000       
3506.7500    48.7232      23.1785      24.6586      48.6937      15.1955      1193.3151    749.3314     0.0000       83.6508      0.0000       0.0000       
3506.8750    48.7372      23.1836      25.5203      48.7014      15.3023      1628.9655    787.2654     0.0000       83.7675      0.0000       0.0000       
3507.0000    48.7818      23.2011      24.2101      48.7261      15.3932      2020.0133    837.9299     0.0000       83.8922      0.0000       0.0000       
3507.1250    48.9142      23.2060      23.6569      48.7994      15.4431      2326.2031    887.2927     0.0000       83.9934      0.0000       0.0000       
3507.2500    49.0550      23.2232      24.6446      48.8774      15.4802      2063.4590    831.7136     0.0000       84.0392      0.0000       0.0000       
3507.3750    49.1877      23.2283      25.8092      48.9508      15.4890      1488.4918    658.0378     0.0000       84.0926      0.0000       0.0000       
3507.5000    49.3503      23.2649      24.7512      49.0409      15.4884      734.7481     469.9354     0.0000       84.0830      0.0000       0.0000       
3507.6250    49.4716      23.2950      27.7848      49.1081      15.4593      453.1055     392.9746     0.0000       84.0735      0.0000       0.0000       
3507.7500    49.5657      23.3377      26.8532      49.1601      15.4396      279.3674     333.1158     0.0000       84.0480      0.0000       0.0000       
