WELLNAME = well123
STDEP  =  3500.0000    
ENDEP  =  4513.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, RT

#DEPTH       AC           CAL          CNL          GR           RT           
3500.0000    47.5697      21.9506      2.0228       25.7186      909.6353     
3500.1250    47.5673      21.9848      1.9911       26.1031      931.3340     
3500.2500    47.6129      22.0515      1.9593       24.4927      967.0732     
3500.3750    47.5622      22.0866      1.9580       24.0211      1013.5497    
3500.5000    47.5120      22.1210      2.0168       25.3563      1067.2301    
3500.6250    47.3650      22.1556      2.0163       25.1703      1128.9818    
3500.7500    47.1209      22.1909      2.1056       26.3155      1211.2109    
3500.8750    46.9256      22.2253      2.1653       26.3195      1245.8395    
3501.0000    47.0198      22.2287      2.2247       25.9443      1172.7896    
3501.1250    47.3067      22.2322      2.2839       26.7081      1073.5034    
3501.2500    47.4491      22.2343      2.3431       26.3325      973.5174     
3501.3750    47.5920      22.2372      2.3423       25.1966      886.9757     
3501.5000    47.6861      22.2404      2.3410       25.6762      862.7026     
3501.6250    47.7802      22.2436      2.3094       24.1603      947.3928     
3501.7500    47.7777      22.2468      2.1868       23.9743      1006.8980    
3501.8750    47.7753      22.2492      2.0339       24.8344      1090.3093    
3502.0000    47.6273      22.2517      1.8810       25.9787      1202.9119    
3502.1250    47.5286      22.2549      1.7281       25.0338      1364.8370    
3502.2500    47.3328      22.2581      1.8483       25.7976      1585.1666    
3502.3750    47.1380      22.2621      1.9076       22.9518      1798.4982    
3502.5000    46.9428      22.2651      1.9670       22.4802      2021.6292    
3502.6250    47.1817      22.2674      2.0260       24.1001      1782.7053    
3502.7500    47.5164      22.3029      2.0857       25.9100      1233.2317    
3502.8750    47.7073      22.3376      2.1450       24.7742      936.5756     
3503.0000    47.8022      22.3399      2.1742       24.4940      825.9116     
3503.1250    47.6062      22.3429      2.0819       24.4980      865.5793     
3503.2500    47.3621      22.3460      1.9286       26.5926      1019.4594    
3503.3750    47.1673      22.3498      1.8368       24.0314      1688.1620    
3503.5000    46.9233      22.3521      1.7444       22.3254      2308.5762    
3503.6250    46.8243      22.3538      1.7129       23.0905      2582.8965    
3503.7500    46.9189      22.3568      1.7115       24.9004      2204.4287    
3503.8750    47.3027      22.3597      1.7405       23.7637      1713.7343    
3504.0000    47.5899      22.3311      1.7698       20.7278      1483.2141    
3504.1250    47.7805      22.3024      1.7987       18.0711      1370.4253    
3504.2500    47.7293      22.3055      1.8579       19.3113      1429.6267    
3504.3750    47.5826      22.3084      1.8566       21.9760      1629.6042    
3504.5000    47.3870      22.2802      1.9158       21.0298      1964.6163    
