WELLNAME = well52
STDEP  =  3835.0000    
ENDEP  =  4631.8750    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, DEN, GR, RT, SP

#DEPTH       AC           CAL          CNL          DEN          GR           RT           SP           
3835.0000    0.0001       0.0001       0.0001       0.0001       81.7289      0.0001       222.2350     
3835.1250    0.0001       0.0001       0.0001       0.0001       83.3869      0.0001       222.2356     
3835.2500    0.0001       0.0001       0.0001       0.0001       85.2361      0.0001       222.2361     
3835.3750    0.0001       0.0001       0.0001       0.0001       83.7706      0.0001       222.2367     
3835.5000    0.0001       0.0001       0.0001       0.0001       87.0859      0.0001       222.2373     
3835.6250    0.0001       0.0001       0.0001       0.0001       86.6403      0.0001       222.2378     
3835.7500    0.0001       0.0001       0.0001       0.0001       85.2387      0.0001       222.2384     
3835.8750    0.0001       0.0001       0.0001       0.0001       87.4064      0.0001       222.2388     
3836.0000    0.0001       0.0001       0.0001       0.0001       84.7299      0.0001       222.2394     
3836.1250    0.0001       0.0001       0.0001       0.0001       83.5830      0.0001       222.2399     
3836.2500    0.0001       0.0001       0.0001       0.0001       82.0536      0.0001       222.2565     
3836.3750    0.0001       0.0001       0.0001       0.0001       80.3968      0.0001       222.2890     
3836.5000    0.0001       0.0001       0.0001       0.0001       80.0787      0.0001       222.3053     
3836.6250    0.0001       0.0001       0.0001       0.0001       81.8643      0.0001       222.3058     
3836.7500    0.0001       0.0001       0.0001       0.0001       82.6935      0.0001       222.3382     
3836.8750    0.0001       0.0001       0.0001       0.0001       81.8016      0.0001       222.3706     
3837.0000    0.0001       0.0001       0.0001       0.0001       84.5433      0.0001       222.3871     
3837.1250    0.0001       0.0001       0.0001       0.0001       85.6913      0.0001       222.4036     
3837.2500    63.8545      8.1058       0.0001       0.0001       84.6084      0.0001       222.4200     
3837.3750    63.6927      8.1310       0.0001       0.0001       84.2264      0.0001       222.4365     
3837.5000    63.7736      8.1238       0.0001       0.0001       86.1393      0.0001       222.4369     
3837.6250    64.1779      8.1202       0.0001       0.0001       84.9288      0.0001       222.4374     
3837.7500    64.0970      8.1382       0.0001       0.0001       83.5270      0.0001       222.4380     
3837.8750    63.9353      8.1418       0.0001       0.0001       83.0814      0.0001       222.4547     
3838.0000    64.1779      8.1454       0.0001       2.7118       85.8230      0.0001       222.4552     
3838.1250    64.0970      8.1382       0.0001       2.7086       87.8634      0.0001       222.4556     
3838.2500    64.0162      8.1418       0.0001       2.7108       87.7366      0.0001       222.4720     
3838.3750    64.1779      8.1202       0.0001       2.7086       86.3984      0.0001       222.4726     
3838.5000    64.3396      8.1022       0.0001       2.7108       84.6779      0.0001       222.4731     
3838.6250    64.0970      8.0769       0.0001       2.7194       84.1048      0.0001       222.4737     
3838.7500    64.0162      8.0769       0.0001       2.7140       82.3843      0.0001       222.4742     
3838.8750    63.6119      8.0769       0.0001       2.7129       81.4288      0.0001       222.4748     
3839.0000    63.1267      8.0986       0.0001       2.6925       85.8915      0.0001       222.4754     
3839.1250    63.4501      8.0661       0.0001       2.6806       91.3104      0.0001       222.4600     
3839.2500    63.7736      8.0769       0.0001       2.6806       90.9285      0.0001       222.4446     
3839.3750    63.6119      8.1058       0.0001       2.6774       93.2239      0.0001       222.4292     
3839.5000    63.8545      8.0913       0.0001       2.6742       90.4835      0.0001       222.4139     
3839.6250    64.0162      8.0769       0.0001       2.6817       87.9981      0.0001       222.4145     
3839.7500    63.6927      8.0913       0.0001       2.7000       90.1023      0.0001       222.3990     
3839.8750    0.0001       8.0697       0.0001       2.6989       92.5889      0.0001       222.3838     
3840.0000    0.0001       8.0733       16.8105      2.7151       89.4660      1.0715       222.1035     
3840.1250    0.0001       8.0805       16.1319      2.7151       87.2354      1.0715       221.8392     
3840.2500    0.0001       8.0877       17.3869      2.7043       87.1723      33.6346      221.8715     
3840.3750    0.0001       8.1058       17.7310      2.7172       85.8343      33.4465      221.9036     
3840.5000    0.0001       8.1022       17.6634      2.7387       83.8588      31.4459      221.9198     
3840.6250    0.0001       8.1058       17.1712      2.7344       85.0706      29.2354      221.9043     
3840.7500    0.0001       8.1094       16.4539      2.7172       82.9676      30.2357      221.8887     
3840.8750    0.0001       8.1094       16.4154      2.7086       83.8606      31.2701      221.8891     
3841.0000    0.0001       8.0986       16.5684      2.7161       85.8375      31.9794      221.8736     
3841.1250    0.0001       8.0769       16.4220      2.7151       85.3280      32.5218      221.8422     
3841.2500    0.0001       8.0877       16.2755      2.7172       87.5596      31.8006      221.8267     
3841.3750    0.0001       8.0733       16.4109      2.6957       89.9825      30.7486      221.8271     
3841.5000    0.0001       8.0877       16.5100      2.6925       93.0429      31.2701      221.8273     
3841.6250    0.0001       8.0841       16.9500      0.0001       95.5295      31.6228      221.8277     
3841.7500    0.0001       8.0733       17.1893      0.0001       98.0162      30.9214      221.8281     
3841.8750    0.0001       8.0805       17.2000      0.0001       99.1004      31.8006      221.8284     
3842.0000    0.0001       8.0625       16.7086      0.0001       93.7465      33.0735      221.8287     
3842.1250    63.8545      8.0517       15.9487      0.0001       88.0737      32.5218      221.8290     
3842.2500    63.6927      8.0841       16.3338      0.0001       87.0544      32.1592      221.8134     
3842.3750    63.7736      8.0805       15.9207      0.0001       84.4415      33.0735      221.7820     
3842.5000    64.1779      8.0409       15.7743      0.0001       82.7847      33.4465      221.7506     
3842.6250    64.0970      8.0337       15.9152      0.0001       81.2555      33.0735      221.7192     
3842.7500    63.9353      8.0192       16.1807      0.0001       80.1087      32.3400      221.7037     
3842.8750    64.1779      7.9940       16.2800      0.0001       79.5992      33.6346      221.6882     
3843.0000    64.0970      7.9940       16.2881      0.0001       78.4524      31.9794      221.6409     
3843.1250    64.0162      7.9832       16.2374      0.0001       78.2618      32.3400      221.5936     
3843.2500    64.1779      7.9651       16.1488      0.0001       77.2425      33.0735      221.5304     
3843.3750    64.3396      7.9724       16.0697      0.0001       76.0957      32.1592      221.4354     
3843.5000    64.0970      7.9507       16.1444      0.0001       77.9449      30.9214      221.3405     
3843.6250    64.0162      7.9507       16.0175      0.0001       80.5590      32.5218      221.2296     
3843.7500    63.6119      7.9291       15.6153      0.0001       82.6632      31.9794      221.1187     
3843.8750    63.1267      7.9399       15.4540      0.0001       80.8152      32.3400      220.9920     
3844.0000    63.4501      7.9291       15.4551      0.0001       77.6286      34.5908      220.8177     
3844.1250    63.7736      7.9219       15.4024      0.0001       74.7607      34.9809      220.6592     
3844.2500    63.6119      7.9363       15.4347      0.0001       73.6137      33.6346      220.5166     
