WELLNAME = well68
STDEP  =  3000.0000    
ENDEP  =  4946.0000    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH          
3000.0000    50.5050      22.2112      30.8586      23.6971      381.1942     -99999.0000  0.0327       135.5558     0.1490       
3000.1250    50.4876      22.2080      31.7989      23.8110      420.6500     -99999.0000  0.0325       135.5847     0.1557       
3000.2500    50.3054      22.1928      33.5282      23.9247      474.9104     -99999.0000  0.0309       135.6453     0.1681       
3000.3750    49.9877      22.1453      29.5311      24.0891      563.4132     -99999.0000  0.0280       135.7367     0.1395       
3000.5000    49.5348      22.1233      29.4279      24.2787      687.6396     -99999.0000  0.0239       135.7667     0.1388       
3000.6250    49.2461      22.1205      26.1434      24.3925      825.2198     -99999.0000  0.0212       135.8588     0.1153       
3000.7500    49.0447      22.1177      24.5896      24.5696      811.4268     -99999.0000  0.0194       135.8875     0.1042       
3000.8750    49.0270      22.1217      29.1691      24.6960      766.6418     -99999.0000  0.0192       135.9487     0.1369       
3001.0000    49.1836      22.1379      32.7308      24.8221      742.4664     -99999.0000  0.0206       135.9775     0.1624       
3001.1250    49.4466      22.1348      31.8132      24.9611      814.4799     -99999.0000  0.0231       136.0060     0.1558       
3001.2500    49.1292      22.1318      32.5499      25.0874      897.7498     -99999.0000  0.0201       136.0340     0.1611       
3001.3750    48.7633      22.1299      28.9346      25.2136      996.4329     -99999.0000  0.0167       136.0642     0.1352       
3001.5000    48.5134      22.1268      27.8388      25.3144      1074.8500    -99999.0000  0.0144       136.0928     0.1274       
3001.6250    48.5247      22.1181      29.2372      25.4532      940.9892     -99999.0000  0.0145       136.1218     0.1374       
3001.7500    48.7878      22.0962      29.7193      25.5539      795.6344     -99999.0000  0.0170       136.2143     0.1409       
3001.8750    49.1959      22.0870      29.2344      25.6925      729.3135     -99999.0000  0.0208       136.2421     0.1374       
3002.0000    49.2463      22.0584      33.3813      25.7681      675.8678     -99999.0000  0.0212       136.2719     0.1670       
3002.1250    49.0159      22.0435      33.0491      25.8308      688.8324     -99999.0000  0.0191       136.3320     0.1646       
3002.2500    48.8046      22.0660      28.2123      25.9439      802.8057     -99999.0000  0.0171       136.3293     0.1301       
3002.3750    48.5936      22.0949      28.8726      26.0192      971.1774     -99999.0000  0.0152       136.3585     0.1348       
3002.5000    48.4501      22.1429      24.2139      26.0693      1247.3855    -99999.0000  0.0138       136.4187     0.1015       
3002.6250    48.3068      22.2036      24.1871      26.1828      1591.4319    -99999.0000  0.0125       136.4476     0.1013       
3002.7500    48.2411      22.2764      21.8952      26.3473      2066.9133    -99999.0000  0.0118       136.5083     0.0850       
3002.8750    48.2039      22.2934      24.2861      26.5244      2007.3972    -99999.0000  0.0115       136.5364     0.1020       
3003.0000    48.2055      22.3476      22.2488      26.6507      1986.9210    -99999.0000  0.0115       136.5658     0.0875       
3003.1250    48.2366      22.3643      25.5049      26.7767      2151.0723    -99999.0000  0.0118       136.6268     0.1107       
3003.2500    48.3155      22.4250      23.9257      26.8901      1947.4001    -99999.0000  0.0125       136.6230     0.0995       
3003.3750    48.3753      22.4417      25.5531      26.9528      1855.9750    -99999.0000  0.0131       136.6520     0.1111       
3003.5000    48.4158      22.4388      26.3406      27.0281      1701.2336    -99999.0000  0.0135       136.6811     0.1167       
3003.6250    48.5724      22.4171      27.2299      27.0906      1419.4077    -99999.0000  0.0150       136.7417     0.1231       
3003.7500    48.8064      22.3380      29.6971      27.1402      856.4493     -99999.0000  0.0171       136.8027     0.1407       
3003.8750    49.1758      22.2652      31.8844      27.1901      640.3822     -99999.0000  0.0206       136.8633     0.1563       
3004.0000    49.7002      22.2115      33.0028      27.2527      519.5316     -99999.0000  0.0254       136.9558     0.1643       
3004.1250    50.0792      22.1643      35.2663      27.3023      441.4371     -99999.0000  0.0288       137.0163     0.1805       
3004.2500    50.1585      22.1171      38.3443      27.3521      409.1292     -99999.0000  0.0296       137.1087     0.2025       
3004.3750    50.1219      22.0188      36.6887      27.3764      401.0931     -99999.0000  0.0292       137.1693     0.1906       
3004.5000    50.0652      21.9524      37.2217      27.3625      410.9457     -99999.0000  0.0287       137.2306     0.1944       
3004.6250    49.9319      21.9305      36.8131      27.2975      423.0255     -99999.0000  0.0275       137.2910     0.1915       
3004.7500    49.8366      21.9277      35.4375      27.1817      437.5155     -99999.0000  0.0266       137.3198     0.1817       
3004.8750    49.6936      21.9251      37.6501      27.0530      453.7785     -99999.0000  0.0253       137.3489     0.1975       
3005.0000    49.6274      21.9223      36.1473      26.9371      480.2178     -99999.0000  0.0247       137.4079     0.1868       
3005.1250    49.5327      21.9259      31.0815      26.8719      526.8859     -99999.0000  0.0239       137.4379     0.1506       
3005.2500    49.4855      21.9610      32.7342      26.8836      583.7788     -99999.0000  0.0234       137.4343     0.1624       
3005.3750    49.3816      22.0405      34.2090      26.8949      651.6664     -99999.0000  0.0225       137.4633     0.1729       
3005.5000    49.3536      22.1268      31.1791      26.9194      718.2262     -99999.0000  0.0222       137.5240     0.1513       
3005.6250    49.2688      22.1747      30.3634      26.9309      804.6973     -99999.0000  0.0214       137.5525     0.1455       
3005.7500    49.1928      22.2102      29.1150      26.9550      916.8720     -99999.0000  0.0207       137.5499     0.1365       
3005.8750    49.1173      22.2077      30.9459      27.0044      859.8047     -99999.0000  0.0200       137.5474     0.1496       
3006.0000    49.0897      22.2052      28.6286      27.0418      784.7077     -99999.0000  0.0198       137.6068     0.1331       
3006.1250    48.9851      22.2027      25.9552      27.1044      778.3483     -99999.0000  0.0188       137.6369     0.1140       
3006.2500    48.9385      22.1870      24.5541      27.1923      810.7141     -99999.0000  0.0184       137.6654     0.1040       
3006.3750    48.8339      22.1328      26.6395      27.2931      864.0252     -99999.0000  0.0174       137.6940     0.1189       
3006.5000    48.7195      22.0790      24.8568      27.3939      923.0205     -99999.0000  0.0163       137.6906     0.1061       
3006.6250    48.5957      22.0316      27.0948      27.5328      986.9810     -99999.0000  0.0152       137.7202     0.1221       
3006.7500    48.4814      22.0103      25.6174      27.6209      961.2543     -99999.0000  0.0141       137.7491     0.1116       
3006.8750    48.4056      22.0139      27.2193      27.8106      910.6546     -99999.0000  0.0134       137.9682     0.1230       
3007.0000    48.3204      22.0431      28.5412      27.9116      962.4734     -99999.0000  0.0126       137.8703     0.1324       
3007.1250    48.2544      22.1103      26.8348      28.1139      1042.2305    -99999.0000  0.0120       137.8036     0.1202       
3007.2500    48.1884      22.2153      27.4951      28.2277      1055.5718    -99999.0000  0.0113       137.7044     0.1250       
3007.3750    48.1610      22.2574      26.0430      28.3285      953.2362     -99999.0000  0.0111       137.6371     0.1146       
3007.5000    48.1822      22.2738      27.0088      28.4037      920.5018     -99999.0000  0.0113       137.6028     0.1215       
3007.6250    48.2903      22.2516      26.7274      28.3897      812.3802     -99999.0000  0.0123       137.6003     0.1195       
3007.7500    48.5147      22.1723      28.6347      28.3504      641.2386     -99999.0000  0.0144       137.5965     0.1331       
3007.8750    48.8842      22.0937      28.2516      28.2854      579.6309     -99999.0000  0.0179       137.5294     0.1304       
3008.0000    49.2244      22.0275      26.2652      28.2332      597.1769     -99999.0000  0.0210       137.5274     0.1162       
3008.1250    49.5261      21.9993      27.0273      28.1681      585.2018     -99999.0000  0.0238       137.5238     0.1216       
3008.2500    49.3443      21.9774      29.2398      28.1031      634.4804     -99999.0000  0.0221       137.5208     0.1374       
3008.3750    49.2104      21.9743      31.1471      28.0637      596.6189     -99999.0000  0.0209       137.5820     0.1511       
3008.5000    49.0961      21.9773      24.8854      28.0115      540.8652     -99999.0000  0.0198       137.5787     0.1063       
3008.6250    49.0785      22.0009      26.6400      27.9722      475.0334     -99999.0000  0.0197       137.6075     0.1189       
3008.7500    49.1288      22.0234      26.5368      27.9200      425.1837     -99999.0000  0.0201       137.6362     0.1181       
3008.8750    49.3240      22.0523      26.1283      27.8547      408.6107     -99999.0000  0.0219       137.6973     0.1152       
3009.0000    49.8287      22.1067      29.4606      27.7899      452.9756     -99999.0000  0.0266       137.7249     0.1390       
3009.1250    49.7434      22.1738      26.9143      27.6996      520.7364     -99999.0000  0.0258       137.7228     0.1208       
3009.2500    49.2614      22.2348      23.8847      27.6347      650.0260     -99999.0000  0.0214       137.7513     0.0992       
3009.3750    48.7408      22.3337      23.2726      27.6844      847.4954     -99999.0000  0.0165       137.7806     0.0948       
3009.5000    48.3170      22.4201      22.7622      27.7851      1023.0415    -99999.0000  0.0126       137.6819     0.0912       
3009.6250    48.0674      22.4553      22.3282      27.8987      1193.2563    -99999.0000  0.0102       137.7107     0.0881       
3009.7500    47.9916      22.4462      22.8358      28.0884      1348.9932    -99999.0000  0.0095       137.6751     0.0917       
3009.8750    47.9740      22.4182      21.2567      28.2784      1606.4167    -99999.0000  0.0093       137.7044     0.0804       
3010.0000    48.0048      22.3898      19.7029      28.4813      1773.2756    -99999.0000  0.0096       137.7008     0.0693       
3010.1250    48.0647      22.3554      20.3632      28.6840      1907.5211    -99999.0000  0.0102       137.7304     0.0740       
3010.2500    48.1147      22.3081      23.2629      28.7974      1917.2184    -99999.0000  0.0107       137.7270     0.0947       
3010.3750    48.2228      22.2990      22.6762      28.7707      1489.2231    -99999.0000  0.0117       137.7876     0.0905       
3010.5000    48.3989      22.3281      23.1583      28.7186      1181.9170    -99999.0000  0.0133       137.7851     0.0940       
3010.6250    48.6908      22.2744      24.7856      28.6536      820.4313     -99999.0000  0.0161       137.8767     0.1056       
3010.7500    49.0988      22.1381      23.4864      28.5503      562.8251     -99999.0000  0.0199       137.8744     0.0963       
3010.8750    49.6035      22.0081      24.6301      28.2943      464.1386     -99999.0000  0.0245       137.8709     0.1045       
3011.0000    49.6441      21.9987      24.6796      28.0892      413.3954     -99999.0000  0.0249       137.7722     0.1049       
3011.1250    49.5491      22.1354      25.0345      27.9603      395.6097     -99999.0000  0.0240       137.7689     0.1074       
3011.2500    49.3674      22.2978      27.3233      27.8573      409.7454     -99999.0000  0.0223       137.7659     0.1237       
3011.3750    49.2141      22.4289      24.8791      27.8179      433.2784     -99999.0000  0.0209       137.7636     0.1063       
3011.5000    49.0708      22.5727      27.2952      27.8167      458.2473     -99999.0000  0.0196       137.8242     0.1235       
3011.6250    48.9952      22.6465      26.6831      27.8281      471.9314     -99999.0000  0.0189       137.9481     0.1192       
3011.7500    49.0164      22.4593      27.2924      27.8141      464.0286     -99999.0000  0.0191       138.0090     0.1235       
