WELLNAME = well77
STDEP  =  3300.0000    
ENDEP  =  3942.0375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, GR, K, PE, R1, RM, RT, RXO, SGR, SONPHI, SP, TH, TM, U, VSH1

#DEPTH       AC           CAL          CGR          GR           K            PE           R1           RM           RT           RXO          SGR          SONPHI       SP           TH           TM           U            VSH1         
3300.0000    49.1466      21.5091      0.0000       39.6824      0.0000       0.0000       31.4770      0.0000       9084.6152    660.1915     0.0000       0.0000       -35.0885     0.0000       0.0000       0.0000       0.0000       
3300.1250    49.3197      21.4847      0.0000       38.1424      0.0000       0.0000       31.5154      0.0000       9526.9805    624.8793     0.0000       0.0000       -36.1293     0.0000       0.0000       0.0000       0.0000       
3300.2500    49.1849      21.4857      0.0000       36.1983      0.0000       0.0000       31.6675      0.0000       9625.2715    592.0081     0.0000       0.0000       -37.2963     0.0000       0.0000       0.0000       0.0000       
3300.3750    49.0307      21.4866      0.0000       34.0775      0.0000       0.0000       31.8575      0.0000       9204.2578    566.1169     0.0000       0.0000       -38.5738     0.0000       0.0000       0.0000       0.0000       
3300.5000    49.0691      21.4623      0.0000       34.0025      0.0000       0.0000       32.0728      0.0000       9017.5664    583.2668     0.0000       0.0000       -39.9776     0.0000       0.0000       0.0000       0.0000       
3300.6250    49.4731      21.4633      0.0000       36.5544      0.0000       0.0000       32.2121      0.0000       8777.1963    616.8262     0.0000       0.0000       -41.5234     0.0000       0.0000       0.0000       0.0000       
3300.7500    49.7617      21.4391      0.0000       40.0407      0.0000       0.0000       32.3137      0.0000       8253.6494    627.2715     0.0000       0.0000       -43.2902     0.0000       0.0000       0.0000       0.0000       
3300.8750    49.6076      21.4149      0.0000       44.4617      0.0000       0.0000       32.3521      0.0000       7318.7373    620.3079     0.0000       0.0000       -45.2781     0.0000       0.0000       0.0000       0.0000       
3301.0000    49.3765      21.4410      0.0000       48.6046      0.0000       0.0000       32.2264      0.0000       6544.3994    626.1279     0.0000       0.0000       -47.3922     0.0000       0.0000       0.0000       0.0000       
3301.1250    49.1838      21.4419      0.0000       51.9141      0.0000       0.0000       32.0754      0.0000       6074.2686    652.3498     0.0000       0.0000       -49.9325     0.0000       0.0000       0.0000       0.0000       
3301.2500    49.1452      21.4427      0.0000       51.7633      0.0000       0.0000       31.9622      0.0000       5696.0088    708.1221     0.0000       0.0000       -52.6148     0.0000       0.0000       0.0000       0.0000       
3301.3750    49.2220      21.4189      0.0000       49.2383      0.0000       0.0000       31.9248      0.0000       5416.4956    765.0879     0.0000       0.0000       -55.1235     0.0000       0.0000       0.0000       0.0000       
3301.5000    49.4144      21.4195      0.0000       49.9968      0.0000       0.0000       31.8748      0.0000       5776.3428    822.0264     0.0000       0.0000       -57.5059     0.0000       0.0000       0.0000       0.0000       
3301.6250    49.6644      21.4203      0.0000       49.2398      0.0000       0.0000       31.7743      0.0000       6484.0981    880.7383     0.0000       0.0000       -59.8566     0.0000       0.0000       0.0000       0.0000       
