WELLNAME = well90
STDEP  =  3000.0000    
ENDEP  =  4255.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, GR, K, MSFL, PE, R1, RT, RXO, SONPHI, SP, TH, U, VSH1

#DEPTH       AC           CAL          CGR          GR           K            MSFL         PE           R1           RT           RXO          SONPHI       SP           TH           U            VSH1         
3000.0000    48.0173      24.1368      0.0000       29.7978      0.0000       0.0000       0.0000       31.1217      1384.3356    879.4299     0.0000       162.9958     0.0000       0.0000       0.0000       
3000.1250    48.0247      24.3379      0.0000       27.8534      0.0000       0.0000       0.0000       30.7213      3365.7773    1183.4565    0.0000       163.1538     0.0000       0.0000       0.0000       
3000.2500    48.2330      24.5988      0.0000       26.5819      0.0000       0.0000       0.0000       30.6334      4707.4238    1274.6980    0.0000       163.2171     0.0000       0.0000       0.0000       
3000.3750    48.5074      24.7353      0.0000       26.2818      0.0000       0.0000       0.0000       30.7013      5298.9155    1282.2913    0.0000       163.2250     0.0000       0.0000       0.0000       
3000.5000    48.7724      24.7471      0.0000       26.5548      0.0000       0.0000       0.0000       30.8438      4846.1777    1221.9493    0.0000       163.0120     0.0000       0.0000       0.0000       
3000.6250    48.9333      24.5472      0.0000       25.7563      0.0000       0.0000       0.0000       31.0362      3395.9150    1140.0669    0.0000       163.0375     0.0000       0.0000       0.0000       
3000.7500    48.9146      24.2227      0.0000       25.9795      0.0000       0.0000       0.0000       31.2972      2456.2104    1034.8145    0.0000       163.0919     0.0000       0.0000       0.0000       
3000.8750    48.9431      24.0354      0.0000       24.7329      0.0000       0.0000       0.0000       31.5083      1935.9672    956.0889     0.0000       163.1450     0.0000       0.0000       0.0000       
3001.0000    49.1136      23.9725      0.0000       24.4080      0.0000       0.0000       0.0000       31.5886      1607.4114    884.9835     0.0000       163.2057     0.0000       0.0000       0.0000       
3001.1250    49.3029      24.0839      0.0000       24.6311      0.0000       0.0000       0.0000       31.4820      1385.7190    816.6490     0.0000       163.2428     0.0000       0.0000       0.0000       
3001.2500    49.4922      24.1830      0.0000       25.2776      0.0000       0.0000       0.0000       31.1763      1236.4619    751.6637     0.0000       163.2258     0.0000       0.0000       0.0000       
3001.3750    49.6154      24.1325      0.0000       27.5435      0.0000       0.0000       0.0000       31.7050      1093.7379    709.0581     0.0000       163.2400     0.0000       0.0000       0.0000       
3001.5000    49.6723      23.9950      0.0000       29.4359      0.0000       0.0000       0.0000       32.4330      927.1019     675.3071     0.0000       163.2695     0.0000       0.0000       0.0000       
3001.6250    49.6725      23.8698      0.0000       31.2036      0.0000       0.0000       0.0000       32.2081      797.6052     650.2924     0.0000       163.2991     0.0000       0.0000       0.0000       
3001.7500    49.6537      23.8318      0.0000       30.3805      0.0000       0.0000       0.0000       31.5037      752.9901     622.2297     0.0000       163.3521     0.0000       0.0000       0.0000       
3001.8750    49.4742      23.9931      0.0000       28.4610      0.0000       0.0000       0.0000       30.9862      765.2903     596.9982     0.0000       163.4830     0.0000       0.0000       0.0000       
3002.0000    49.3987      24.2292      0.0000       27.4136      0.0000       0.0000       0.0000       31.7329      841.7377     624.5779     0.0000       163.6138     0.0000       0.0000       0.0000       
3002.1250    49.3326      24.3781      0.0000       29.6048      0.0000       0.0000       0.0000       32.7287      926.2520     681.2664     0.0000       163.7136     0.0000       0.0000       0.0000       
3002.2500    49.3139      24.3276      0.0000       30.7249      0.0000       0.0000       0.0000       33.2761      1049.6351    729.1522     0.0000       163.7819     0.0000       0.0000       0.0000       
3002.3750    49.3330      24.1651      0.0000       30.1010      0.0000       0.0000       0.0000       33.3690      1191.3818    787.2853     0.0000       163.8190     0.0000       0.0000       0.0000       
3002.5000    49.3710      24.0025      0.0000       30.9969      0.0000       0.0000       0.0000       33.4430      1354.6499    816.3250     0.0000       163.8489     0.0000       0.0000       0.0000       
