WELLNAME = well95
STDEP  =  3000.0000    
ENDEP  =  4137.0313    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, DEN, GR, RT, SP

#DEPTH       AC           CAL          DEN          GR           RT           SP           
3000.0000    46.7519      21.8301      0.0000       17.1735      1950.0616    87.2179      
3000.1250    46.9219      21.8315      0.0000       18.6915      1780.7961    87.0808      
3000.2500    46.9704      21.8331      0.0000       14.5212      1669.3440    86.9828      
3000.3750    46.8247      21.8821      0.0000       15.5966      1525.4258    86.7862      
3000.5000    46.8004      21.9465      0.0000       16.2299      1301.8875    86.5504      
3000.6250    47.0189      22.0110      0.0000       16.4835      1092.0184    86.3735      
3000.7500    47.2859      22.1229      0.0000       16.4214      760.1589     86.1572      
3000.8750    47.5530      22.3455      0.0000       14.6525      492.6444     85.9215      
3001.0000    47.8443      22.5050      0.0000       14.2111      402.2876     85.7449      
3001.1250    48.0385      22.4906      0.0000       15.9819      383.7042     85.5878      
3001.2500    48.1113      22.3340      0.0000       14.2764      425.4371     85.4900      
3001.3750    47.9656      22.1459      0.0000       12.0019      571.7449     85.3526      
3001.5000    47.6742      22.0053      0.0000       9.2217       1060.4086    85.1959      
3001.6250    47.2614      21.8803      0.0000       11.0558      1747.2084    85.0981      
3001.7500    47.1642      21.8027      0.0000       11.4362      2345.5583    84.9609      
3001.8750    47.4798      21.7413      0.0000       9.9201       3041.3687    84.8630      
3002.0000    47.6254      21.6792      0.0000       10.1107      3141.3650    84.7259      
3002.1250    47.5525      21.6647      0.0000       12.5768      2709.5737    84.5688      
3002.2500    47.5768      21.6660      0.0000       13.3996      2330.2017    84.4117      
3002.3750    48.0137      21.7149      0.0000       10.2400      1994.1050    84.2548      
3002.5000    48.4506      21.7799      0.0000       11.8213      1788.0459    84.0978      
3002.6250    48.6933      21.7966      0.0000       13.4026      1736.5757    83.9406      
3002.7500    48.4747      21.8452      0.0000       13.4668      1891.5007    83.7835      
3002.8750    48.1348      21.8625      0.0000       14.7953      1991.1050    83.5674      
3003.0000    47.6978      21.8642      0.0000       17.5144      1929.2599    83.3906      
3003.1250    47.3094      21.8656      0.0000       19.5383      1913.8192    83.1748      
3003.2500    47.4064      21.8669      0.0000       18.7175      1721.3311    83.0569      
3003.3750    47.9404      21.8683      0.0000       16.1900      1547.3367    82.9195      
3003.5000    48.0860      21.8225      0.0000       13.6625      1438.9360    82.6441      
3003.6250    47.9889      21.8078      0.0000       14.3589      1428.8591    82.4476      
3003.7500    48.0373      21.7618      0.0000       13.6013      1361.0381    82.2905      
3003.8750    48.2800      21.7007      0.0000       13.4760      1213.9373    82.1334      
3004.0000    48.4741      21.6859      0.0000       13.4769      1079.6926    81.9173      
3004.1250    48.4740      21.6396      0.0000       11.8343      964.0146     81.7405      
