WELLNAME = well98
STDEP  =  2800.0000    
ENDEP  =  3837.9984    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
2800.0000    47.4962      22.5762      18.4171      4357.7734    148.0659     
2800.1250    47.5152      22.5997      19.2218      4618.6812    147.9846     
2800.2500    47.5341      22.6730      20.1528      4845.7432    147.8879     
2800.3750    47.5530      22.7217      19.3441      5205.6211    147.8618     
2800.5000    47.5624      22.7703      18.7623      4912.2012    147.7885     
2800.6250    47.5622      22.8438      19.0377      4566.2070    147.6916     
2800.7500    47.5620      22.8168      18.8089      4233.4663    147.6655     
2800.8750    47.5713      22.7643      18.3784      4031.4131    147.6395     
2801.0000    47.6190      22.7371      18.3512      4072.9160    147.6526     
2801.1250    47.6763      22.6846      18.7779      4298.6797    147.6582     
2801.2500    47.7911      22.6323      19.1289      4052.0122    147.7028     
2801.3750    47.9251      22.6052      19.4800      3102.0029    147.7399     
2801.5000    48.0686      22.5780      19.9569      2412.4902    147.7453     
2801.6250    48.2409      22.6009      20.4342      1789.0249    147.7194     
2801.7500    48.3270      22.5992      20.7600      1008.3951    147.6854     
2801.8750    48.2117      22.6223      19.7748      917.8236     147.6514     
2802.0000    48.0294      22.6204      19.0166      996.2109     147.6175     
2802.1250    47.8470      22.6185      19.1911      1134.7520    147.6072     
2802.2500    47.7222      22.6414      18.6850      2478.7898    147.5576     
2802.3750    47.6836      22.6395      19.2882      4149.9170    147.5867     
2802.5000    47.7793      22.6379      19.2862      3823.4839    147.6236     
2802.6250    47.8845      22.6611      18.4522      3490.7275    147.6054     
2802.7500    47.8747      22.6591      17.1141      3636.7761    147.5948     
2802.8750    47.7594      22.6570      18.0703      4204.0469    147.6159     
2803.0000    47.6633      22.6301      19.5054      4468.4048    147.6213     
2803.1250    47.5864      22.6281      19.1757      4065.7505    147.6187     
2803.2500    47.5766      22.6261      19.6275      3901.7051    147.5927     
2803.3750    47.6147      22.5988      20.4828      4023.4180    147.4882     
2803.5000    47.7871      22.5717      21.6154      3595.0859    147.4073     
2803.6250    47.9882      22.5951      22.4960      1981.0928    147.3416     
2803.7500    48.1030      22.6436      22.9225      1568.6011    147.2525     
2803.8750    47.9494      22.5910      22.4417      1239.1365    147.1314     
2804.0000    47.7670      22.5892      21.3303      1091.0737    147.0738     
2804.1250    47.8147      22.6120      20.3957      1238.1639    147.0162     
2804.2500    47.9103      22.6606      20.6711      1429.5015    146.9743     
2804.3750    47.9006      22.7342      21.2238      1376.6189    146.9408     
2804.5000    47.7278      22.7829      21.0202      1593.2856    146.8836     
2804.6250    47.5358      22.8062      20.7661      2142.6216    146.7942     
2804.7500    47.3726      22.8292      20.3860      2327.0234    146.7445     
2804.8750    47.3149      22.8275      20.6614      2547.9014    146.6633     
2805.0000    47.4105      22.8254      21.0629      2614.4392    146.5663     
2805.1250    47.6116      22.8235      21.3382      2269.0396    146.5169     
2805.2500    47.8798      22.8214      21.3110      1566.8833    146.4593     
2805.3750    47.9563      22.8197      21.0068      1237.1157    146.4174     
2805.5000    47.9177      22.7924      20.5258      1119.9001    146.4073     
2805.6250    47.8887      22.7906      19.9692      1037.0190    146.4519     
2805.7500    47.8789      22.8389      20.2446      912.3350     146.5125     
2805.8750    47.8691      22.8621      21.0999      855.6925     146.5733     
2806.0000    47.8401      22.8603      22.2073      957.3787     146.6810     
2806.1250    47.8399      22.9087      22.1045      1169.7917    146.7574     
2806.2500    47.8205      22.9568      21.5477      1141.4890    146.8181     
2806.3750    47.8107      23.0055      21.1425      1126.0977    146.8786     
2806.5000    47.8200      23.0539      20.6869      1487.9146    146.9153     
2806.6250    47.8294      23.0520      20.3824      1515.7180    146.9679     
2806.7500    47.8388      23.0749      21.1114      1380.2212    146.9816     
2806.8750    47.8386      23.0732      21.8658      1875.7258    147.0030     
2807.0000    47.8767      23.0458      22.6708      2526.6338    147.0791     
2807.1250    47.9340      23.0188      23.5008      3069.9795    147.1474     
2807.2500    48.0009      22.9917      24.2301      3913.8640    147.2083     
2807.3750    48.1445      22.9897      25.1105      3407.7417    147.1508     
2807.5000    48.3361      22.9627      24.8566      2801.7078    147.0300     
2807.6250    48.5947      22.9607      24.2748      2446.5059    146.9489     
2807.7500    48.7192      22.9587      25.0038      2557.3887    146.9071     
2807.8750    48.6422      22.9814      25.8844      2236.7773    146.8731     
2808.0000    48.5845      22.9800      26.1345      1940.1976    146.7915     
2808.1250    48.6322      23.0279      26.4604      1783.8281    146.7185     
2808.2500    48.7471      23.0262      27.2904      1442.8518    146.6295     
2808.3750    48.8140      23.0241      27.3389      1167.9053    146.5325     
2808.5000    48.6891      23.0216      26.3538      991.7151     146.4356     
2808.6250    48.4779      23.0205      25.0409      926.4147     146.3858     
2808.7500    48.2092      23.0187      23.8036      884.9998     146.3282     
2808.8750    48.0076      23.0167      22.8436      1001.0821    146.2628     
2809.0000    47.8731      23.0145      21.7829      1360.0726    146.2209     
2809.1250    47.9017      23.0378      22.9152      1497.3007    146.2342     
2809.2500    48.0549      23.0611      23.9471      1544.1145    146.2632     
2809.3750    48.2369      23.0591      24.3485      1592.1761    146.2925     
2809.5000    48.4668      23.0571      23.8172      1433.5127    146.3451     
2809.6250    48.6680      23.0550      23.5380      1372.9564    146.4291     
2809.7500    48.8020      23.0782      23.6872      1323.1316    146.4976     
2809.8750    48.8689      23.0762      23.3828      1160.1320    146.6290     
2810.0000    48.7440      23.0996      22.6499      986.1881     146.7603     
2810.1250    48.4849      23.0975      21.7906      830.7458     146.8840     
2810.2500    48.3408      23.0957      21.0325      745.9612     146.9608     
2810.3750    48.3694      23.0938      19.7700      710.2845     147.0215     
2810.5000    48.4267      23.1171      20.9278      647.0109     147.0822     
2810.6250    48.4744      23.1152      21.8587      572.9976     147.1191     
2810.7500    48.4838      23.0880      21.1256      540.8582     147.1482     
2810.8750    48.4548      23.1617      21.6531      580.8698     147.1774     
2811.0000    48.3875      23.1345      22.0041      694.4880     147.1827     
2811.1250    48.3105      23.1072      21.2207      946.6433     147.2036     
2811.2500    48.2623      23.1052      21.9499      1460.3818    147.2567     
2811.3750    48.3005      23.0781      21.9228      1576.1331    147.2933     
2811.5000    48.4441      23.0761      22.0720      1483.9321    147.3223     
2811.6250    48.6549      23.0238      23.3308      1227.6755    147.3514     
2811.7500    48.8082      23.0216      24.3624      773.9687     147.4043     
