WELLNAME = well99
STDEP  =  3500.0000    
ENDEP  =  4670.4375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3500.0000    48.3089      23.3167      17.1495      16.3492      2276.2910    405.1557     0.0000       211.8932     0.0000       
3500.1250    48.3051      23.3164      16.1531      16.0004      1307.5625    386.3338     0.0000       211.8929     0.0000       
3500.2500    48.3784      23.3162      14.0608      15.2531      1068.5475    361.6594     0.0000       211.8924     0.0000       
3500.3750    48.1495      23.3161      15.3555      14.6551      895.9482     339.8066     0.0000       211.8919     0.0000       
3500.5000    48.1473      23.3159      14.7574      14.3063      799.6233     338.6020     0.0000       211.8914     0.0000       
3500.6250    48.2957      23.3157      14.3587      14.0072      879.8215     352.5963     0.0000       211.8287     0.0000       
3500.7500    48.5201      23.3155      15.5537      14.3059      1092.7986    368.5196     0.0000       211.7659     0.0000       
3500.8750    48.7444      23.3152      16.1511      14.8535      1256.5685    383.7568     0.0000       211.7031     0.0000       
3501.0000    48.7418      23.2154      17.0473      15.2020      1256.6907    392.3464     0.0000       211.6402     0.0000       
3501.1250    48.7395      23.2152      17.5451      16.3971      1215.9745    385.2480     0.0000       211.5776     0.0000       
3501.2500    48.5106      23.1154      17.4451      17.0445      1189.5912    379.6696     0.0000       211.5148     0.0000       
3501.3750    48.2062      23.1151      17.0463      16.5461      1194.0842    372.8068     0.0000       211.4521     0.0000       
3501.5000    47.8259      23.1149      16.5479      16.1475      1318.6929    376.9818     0.0000       211.3271     0.0000       
3501.6250    47.5970      23.1148      15.8503      15.8484      1584.6193    386.8308     0.0000       211.2020     0.0000       
3501.7500    47.3682      23.1146      14.9533      16.3463      1989.9523    402.8245     0.0000       211.0770     0.0000       
3501.8750    47.3659      23.1144      14.6542      16.6449      2820.9373    419.4719     0.0000       210.9521     0.0000       
3502.0000    47.5144      23.3134      15.5504      16.4455      3340.3560    436.8069     0.0000       210.7647     0.0000       
3502.1250    47.7387      23.4128      15.8490      16.0468      3173.3154    443.3232     0.0000       210.6397     0.0000       
3502.2500    47.8875      23.5122      15.1512      16.6941      2436.3076    435.3024     0.0000       210.4525     0.0000       
3502.3750    47.8849      23.5120      14.7525      17.2916      1522.8153    424.2994     0.0000       210.1406     0.0000       
3502.5000    47.7312      23.5118      15.8479      17.5903      1239.8932    406.0506     0.0000       209.9534     0.0000       
3502.6250    47.5782      23.5116      16.4453      17.1418      1082.4851    388.5936     0.0000       209.8284     0.0000       
3502.7500    47.5004      23.5114      17.6404      17.3408      948.5382     374.6219     0.0000       209.5789     0.0000       
3502.8750    47.4978      23.5112      17.0423      17.5398      837.3074     365.1531     0.0000       209.3294     0.0000       
3503.0000    47.5711      23.5110      15.9462      17.2906      792.5151     358.5533     0.0000       209.0798     0.0000       
3503.1250    47.7954      23.5108      16.3443      16.6428      859.2786     366.5781     0.0000       208.8302     0.0000       
3503.2500    47.7176      23.5106      16.6429      17.0411      928.2658     373.4090     0.0000       208.6429     0.0000       
3503.3750    47.4884      23.5104      16.8417      17.5888      931.7723     373.4539     0.0000       208.4557     0.0000       
3503.5000    47.4861      23.5101      16.6422      17.9871      970.2729     376.2454     0.0000       208.2685     0.0000       
3503.6250    47.4839      23.5100      16.2433      18.1363      1002.9882    387.5012     0.0000       208.0812     0.0000       
3503.7500    47.7079      23.5097      15.4461      17.7874      949.3332     388.9667     0.0000       207.9562     0.0000       
3503.8750    47.9322      23.4099      15.2465      16.4423      888.7061     373.6143     0.0000       207.8312     0.0000       
3504.0000    47.9300      23.2105      15.0470      16.7410      822.8369     360.1819     0.0000       207.7061     0.0000       
3504.1250    47.7766      23.0111      14.3493      16.5913      813.9171     351.0787     0.0000       207.5809     0.0000       
3504.2500    47.6229      22.9112      12.9543      15.8938      905.4557     360.2624     0.0000       207.4560     0.0000       
3504.3750    47.4696      22.9110      13.5516      16.4415      1096.0479    377.9147     0.0000       207.3311     0.0000       
3504.5000    47.3162      22.9108      14.6472      16.7900      1623.6829    400.8224     0.0000       207.1437     0.0000       
3504.6250    47.1629      22.9106      15.7426      17.1882      2162.3245    417.3923     0.0000       206.9564     0.0000       
3504.7500    47.0092      23.2092      16.5393      16.9390      2251.6921    422.0587     0.0000       206.8937     0.0000       
3504.8750    47.0069      23.3087      16.7382      16.1916      1958.6482    411.3914     0.0000       206.8311     0.0000       
3505.0000    47.0047      23.6072      16.0406      14.6971      1703.7429    399.5243     0.0000       206.6438     0.0000       
3505.1250    47.3042      23.7067      15.1436      15.2946      1565.9244    388.0063     0.0000       206.5188     0.0000       
3505.2500    48.0573      23.8061      14.0475      15.9419      1423.5126    382.3889     0.0000       206.3937     0.0000       
3505.3750    47.6018      23.9056      13.4493      16.3900      1382.4420    378.2391     0.0000       206.2065     0.0000       
3505.5000    46.9953      23.9053      13.3495      17.0871      1455.5010    371.4034     0.0000       206.0814     0.0000       
3505.6250    46.9926      23.9052      12.7513      16.7383      1631.1420    370.0805     0.0000       206.0187     0.0000       
3505.7500    47.2170      23.9049      12.1533      16.1403      1903.2819    371.4799     0.0000       205.9559     0.0000       
3505.8750    47.2903      23.9047      11.2563      15.6918      2329.3921    379.7932     0.0000       205.8308     0.0000       
3506.0000    47.1369      23.8049      11.7542      15.6916      3113.5500    391.1609     0.0000       205.7058     0.0000       
3506.1250    46.7566      23.6055      12.4511      15.9903      3727.5750    399.9145     0.0000       205.5807     0.0000       
3506.2500    46.7543      23.5056      13.1482      15.8406      3755.4500    401.4267     0.0000       205.4557     0.0000       
3506.3750    46.7521      23.4056      13.6459      15.6412      3660.5005    400.0034     0.0000       205.3931     0.0000       
3506.5000    47.2027      23.3059      13.9445      15.5911      3389.1968    395.6625     0.0000       205.3302     0.0000       
3506.6250    47.2004      23.3057      14.2430      15.7404      2894.5098    391.3687     0.0000       205.2674     0.0000       
3506.7500    47.1226      23.3055      14.5416      16.1386      2400.5198    382.8878     0.0000       205.2047     0.0000       
3506.8750    47.0448      23.3053      14.8401      16.1384      1919.0437    374.5843     0.0000       205.1419     0.0000       
3507.0000    47.2688      23.4047      15.2383      15.4408      1522.9189    365.1180     0.0000       205.0791     0.0000       
3507.1250    47.7953      23.6037      16.0349      14.7931      1354.2433    355.8910     0.0000       205.0163     0.0000       
3507.2500    48.3974      23.8028      15.9350      15.5400      1208.6815    340.5933     0.0000       204.9537     0.0000       
3507.3750    49.2260      24.0018      15.6357      15.8387      1028.5065    329.5577     0.0000       204.8286     0.0000       
3507.5000    49.6766      24.1013      15.3366      16.5857      856.1097     316.5468     0.0000       204.7659     0.0000       
3507.6250    48.9190      24.3003      14.6388      17.3327      792.6656     309.6878     0.0000       204.7031     0.0000       
3507.7500    48.3880      24.3001      14.1404      16.5852      878.5695     320.1245     0.0000       204.6404     0.0000       
3507.8750    47.7055      24.4991      15.4352      15.6386      1006.5106    330.9127     0.0000       204.5776     0.0000       
3508.0000    46.8723      24.4989      15.6340      15.8376      1153.0627    345.8583     0.0000       204.5148     0.0000       
3508.1250    47.3233      24.4987      15.2353      16.1862      1174.5575    344.6267     0.0000       204.5143     0.0000       
3508.2500    47.6987      24.4985      15.5337      16.8335      1017.9740    334.6870     0.0000       204.5139     0.0000       
3508.3750    47.9982      24.4982      15.1350      17.2816      915.2571     326.2296     0.0000       204.5134     0.0000       
3508.5000    47.9960      24.4980      15.0349      16.9327      819.8906     314.5086     0.0000       204.5128     0.0000       
3508.6250    47.8426      24.4979      15.2339      16.3348      764.7272     305.4380     0.0000       204.5123     0.0000       
3508.7500    47.6893      24.4977      15.7317      15.3881      808.1126     302.1240     0.0000       204.5119     0.0000       
3508.8750    47.4600      24.4973      16.1299      15.7864      889.1340     313.4539     0.0000       204.5736     0.0000       
3509.0000    47.3823      24.4973      16.9265      16.3839      943.0164     324.0224     0.0000       204.6977     0.0000       
3509.1250    47.3800      24.4970      17.5240      17.0313      850.9985     321.6855     0.0000       204.8217     0.0000       
3509.2500    47.6795      24.3972      16.1288      16.8816      779.3075     305.6021     0.0000       204.9456     0.0000       
3509.3750    47.7528      24.3970      16.4275      16.6324      721.5594     278.8379     0.0000       205.0696     0.0000       
3509.5000    47.4484      24.3968      17.0248      17.0804      735.0111     287.1783     0.0000       205.1315     0.0000       
3509.6250    47.2195      24.2970      16.8253      17.3792      793.9936     300.1429     0.0000       205.1933     0.0000       
3509.7500    46.8392      24.2968      15.8286      17.8770      968.1669     321.8636     0.0000       205.3174     0.0000       
3509.8750    46.8369      24.1969      15.1310      18.0263      1233.7321    343.8852     0.0000       205.3792     0.0000       
3510.0000    47.0613      24.1967      13.9351      17.6276      1466.1985    358.0924     0.0000       205.3786     0.0000       
3510.1250    47.4367      24.0968      14.5326      16.8801      1367.5529    337.7067     0.0000       205.3782     0.0000       
3510.2500    48.0384      24.0967      14.4326      16.8301      1081.3406    312.6841     0.0000       205.3777     0.0000       
