WELLNAME = well116
STDEP  =  3500.0000    
ENDEP  =  5129.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, CNL, DEN, GR, K, PE, P_AC, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH, VSH1

#DEPTH       AC           CAL          CGR          CNL          DEN          GR           K            PE           P_AC         R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH          VSH1         
3500.0000    51.7619      23.7458      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  53.9738      30.6101      2785.7258    2482.5596    -99999.0000  0.0000       124.8716     -99999.0000  -99999.0000  0.0000       0.0000       
3500.1250    51.5398      23.7398      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  53.4866      30.8260      2990.8655    2565.9858    -99999.0000  0.0000       125.0545     -99999.0000  -99999.0000  0.0000       0.0000       
3500.2500    51.7419      23.6196      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  53.9299      31.0166      3181.2261    2518.5410    -99999.0000  0.0000       125.3880     -99999.0000  -99999.0000  0.0000       0.0000       
3500.3750    51.8765      23.4676      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.2252      31.2134      3364.5161    2451.2854    -99999.0000  0.0000       125.7137     -99999.0000  -99999.0000  0.0000       0.0000       
3500.5000    51.6543      23.4108      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  53.7379      31.3976      2843.5654    2373.6011    -99999.0000  0.0000       126.0552     -99999.0000  -99999.0000  0.0000       0.0000       
3500.6250    51.7792      23.5762      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.0119      31.5818      2401.2332    2297.2456    -99999.0000  0.0000       126.3809     -99999.0000  -99999.0000  0.0000       0.0000       
3500.7500    52.0392      23.7289      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.5823      31.7724      2196.9385    2231.6736    -99999.0000  0.0000       126.5796     -99999.0000  -99999.0000  0.0000       0.0000       
3500.8750    52.0485      23.9513      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.6026      31.9121      2043.3762    2178.1357    -99999.0000  0.0000       126.3578     -99999.0000  -99999.0000  0.0000       0.0000       
3501.0000    51.7974      24.0532      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.0517      32.0456      2030.8677    2142.8289    -99999.0000  0.0000       125.8663     -99999.0000  -99999.0000  0.0000       0.0000       
3501.1250    51.6235      24.0472      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  53.6701      32.1346      2100.2900    2180.2002    -99999.0000  0.0000       125.2797     -99999.0000  -99999.0000  0.0000       0.0000       
3501.2500    51.6134      23.9841      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  53.6481      32.1537      2205.9512    2242.1616    -99999.0000  0.0000       124.7485     -99999.0000  -99999.0000  0.0000       0.0000       
3501.3750    51.8638      23.8702      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.1973      32.1412      2371.8965    2312.4150    -99999.0000  0.0000       124.3124     -99999.0000  -99999.0000  0.0000       0.0000       
3501.5000    52.1623      23.7817      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.8522      32.2683      2584.5918    2381.3828    -99999.0000  0.0000       123.6147     -99999.0000  -99999.0000  0.0000       0.0000       
3501.6250    52.2390      23.7059      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  55.0206      32.5096      2885.1328    2414.9136    -99999.0000  0.0000       122.9645     -99999.0000  -99999.0000  0.0000       0.0000       
3501.7500    52.1422      23.6491      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.8083      32.6874      3486.7607    2380.2454    -99999.0000  0.0000       122.4095     -99999.0000  -99999.0000  0.0000       0.0000       
3501.8750    51.9779      23.5987      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.4478      32.8843      3451.1614    2322.0874    -99999.0000  0.0000       121.7276     -99999.0000  -99999.0000  0.0000       0.0000       
3502.0000    51.8908      23.5673      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.2566      33.0622      1938.6293    2239.0913    -99999.0000  0.0000       120.9981     -99999.0000  -99999.0000  0.0000       0.0000       
3502.1250    52.1411      23.5613      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.8058      33.2908      1479.3285    2112.9131    -99999.0000  0.0000       120.3876     -99999.0000  -99999.0000  0.0000       0.0000       
3502.2500    52.4686      23.5617      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  55.5242      33.4623      1182.1056    1821.3118    -99999.0000  0.0000       119.7215     -99999.0000  -99999.0000  0.0000       0.0000       
3502.3750    52.8443      23.5429      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  56.3485      33.2594      1023.2916    1582.6643    -99999.0000  0.0000       119.3094     -99999.0000  -99999.0000  0.0000       0.0000       
3502.5000    52.7668      23.5370      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  56.1784      33.0437      937.7891     1468.7515    -99999.0000  0.0000       119.2542     -99999.0000  -99999.0000  0.0000       0.0000       
3502.6250    52.2649      23.5373      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  55.0774      33.2850      1010.2697    1530.0038    -99999.0000  0.0000       119.3815     -99999.0000  -99999.0000  0.0000       0.0000       
3502.7500    51.9270      23.5186      -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  -99999.0000  54.3361      33.4946      1189.9651    1719.6344    -99999.0000  0.0000       119.6120     -99999.0000  -99999.0000  0.0000       0.0000       
