WELLNAME = well121
STDEP  =  3000.0000    
ENDEP  =  4019.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          CNL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3000.0000    60.7036      21.6272      15.3271      106.6340     51.7926      15.6521      19.4110      20.5345      0.0000       0.0000       0.0000       0.0000       
3000.1250    60.2144      21.6581      17.2072      109.3097     51.6679      15.1822      17.8891      18.1888      0.0000       0.0000       0.0000       0.0000       
3000.2500    60.2691      21.7589      18.6233      113.6502     51.6819      14.9409      17.0106      16.9798      0.0000       0.0000       0.0000       0.0000       
3000.3750    62.6266      21.9231      19.3850      117.1582     52.2830      14.6234      16.7310      16.7309      0.0000       0.0000       0.0000       0.0000       
3000.5000    66.8879      22.1190      18.6715      120.3691     53.3697      14.1916      17.1633      17.5143      0.0000       0.0000       0.0000       0.0000       
3000.6250    70.3152      22.2451      18.0948      123.6395     54.2437      13.7598      17.2251      18.0637      0.0000       0.0000       0.0000       0.0000       
3000.7500    71.1315      22.2887      16.9945      126.9097     54.4518      13.5566      16.7886      17.4958      0.0000       0.0000       0.0000       0.0000       
3000.8750    69.6632      22.2942      16.7510      125.5398     54.0774      13.2010      16.7110      16.6809      0.0000       0.0000       0.0000       0.0000       
3001.0000    67.8867      22.2551      17.5068      125.4193     53.6244      12.6930      17.9503      17.0360      0.0000       0.0000       0.0000       0.0000       
3001.1250    66.2370      22.2227      18.5779      126.6669     53.2037      12.2486      19.7042      18.3523      0.0000       0.0000       0.0000       0.0000       
3001.2500    67.2528      22.2346      19.3932      131.4244     53.4627      11.8168      22.5462      20.1012      0.0000       0.0000       0.0000       0.0000       
3001.3750    70.2087      22.2213      19.5660      137.0149     54.2165      12.4005      25.1636      22.0394      0.0000       0.0000       0.0000       0.0000       
3001.5000    72.5119      22.2141      18.6918      136.4185     54.8038      12.9716      24.0813      22.1187      0.0000       0.0000       0.0000       0.0000       
3001.6250    71.3519      22.1942      17.7700      126.6607     54.5080      12.6286      22.6332      21.0713      0.0000       0.0000       0.0000       0.0000       
3001.7500    69.8836      22.1871      16.7769      119.6393     54.1336      12.2730      21.3420      20.1096      0.0000       0.0000       0.0000       0.0000       
3001.8750    68.5602      22.1670      15.8611      114.1050     53.7961      11.7904      20.1646      19.2272      0.0000       0.0000       0.0000       0.0000       
3002.0000    66.2578      22.1601      15.5520      112.7353     53.2090      11.6760      19.7606      18.6369      0.0000       0.0000       0.0000       0.0000       
3002.1250    66.0225      22.1402      16.3316      112.3171     53.1490      11.9169      20.8203      18.3648      0.0000       0.0000       0.0000       0.0000       
3002.2500    67.1290      22.1138      17.4206      112.0181     53.4312      11.9929      22.3632      19.3697      0.0000       0.0000       0.0000       0.0000       
3002.3750    67.9634      22.1068      17.0223      110.7077     53.6439      12.1451      23.8525      20.7216      0.0000       0.0000       0.0000       0.0000       
3002.5000    66.8940      22.0871      16.5705      106.8987     53.3712      12.3226      26.1181      23.1520      0.0000       0.0000       0.0000       0.0000       
3002.6250    66.3323      22.0419      15.7617      103.2085     53.2280      12.5255      27.7568      25.2428      0.0000       0.0000       0.0000       0.0000       
3002.7500    66.1513      22.0094      14.4056      98.0906      53.1818      12.6142      29.7786      27.6315      0.0000       0.0000       0.0000       0.0000       
3002.8750    65.1906      21.9642      13.4541      94.2221      52.9369      12.8298      32.4569      29.5864      0.0000       0.0000       0.0000       0.0000       
3003.0000    63.1963      21.9124      12.6988      90.8886      52.4283      12.9820      32.8331      30.5159      0.0000       0.0000       0.0000       0.0000       
3003.1250    60.6036      21.8801      12.5742      92.7902      51.7672      13.2610      30.9922      30.1808      0.0000       0.0000       0.0000       0.0000       
3003.2500    59.9694      21.8729      13.2110      93.8600      51.6054      13.5274      29.5507      29.4172      0.0000       0.0000       0.0000       0.0000       
3003.3750    60.9308      21.8721      13.4314      93.2039      51.8506      13.9080      28.9878      28.2561      0.0000       0.0000       0.0000       0.0000       
3003.5000    61.3482      21.8713      12.5274      95.6413      51.9570      14.0094      28.1497      26.8436      0.0000       0.0000       0.0000       0.0000       
3003.6250    60.6776      21.8703      11.4569      97.1862      51.7860      14.2251      27.3616      25.6901      0.0000       0.0000       0.0000       0.0000       
3003.7500    60.2790      21.8696      11.0050      95.8164      51.6844      14.1741      26.7169      24.2495      0.0000       0.0000       0.0000       0.0000       
3003.8750    60.6602      21.8689      11.3146      99.9197      51.7816      13.9455      26.2069      22.9552      0.0000       0.0000       0.0000       0.0000       
3004.0000    61.6035      21.8679      11.9039      98.4307      52.0221      13.5390      26.4255      22.6200      0.0000       0.0000       0.0000       0.0000       
3004.1250    63.0364      21.8862      11.3211      97.2392      52.3875      13.5389      28.1915      24.2495      0.0000       0.0000       0.0000       0.0000       
3004.2500    62.2934      21.8918      10.5599      93.6081      52.1980      13.7672      27.8567      25.7046      0.0000       0.0000       0.0000       0.0000       
3004.3750    62.5294      21.9101      11.0837      93.3090      52.2582      13.9320      28.5803      26.1281      0.0000       0.0000       0.0000       0.0000       
3004.5000    63.6541      21.9347      12.0776      99.7329      52.5450      14.1350      31.4970      27.9110      0.0000       0.0000       0.0000       0.0000       
3004.6250    63.5457      21.9593      12.5122      96.5779      52.5174      14.3506      34.0555      30.6083      0.0000       0.0000       0.0000       0.0000       
3004.7500    62.7119      21.9648      12.1793      94.7318      52.3048      14.6551      33.7127      32.6514      0.0000       0.0000       0.0000       0.0000       
3004.8750    62.0775      21.9830      11.7691      94.6707      52.1430      14.9088      33.7740      33.6500      0.0000       0.0000       0.0000       0.0000       
