WELLNAME = well123
STDEP  =  3500.0000    
ENDEP  =  4513.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, P_AC, R1, RT, RXO, SONPHI, VSH, VSH1

#DEPTH       AC           CAL          CNL          GR           P_AC         R1           RT           RXO          SONPHI       VSH          VSH1         
3500.0000    47.5697      21.9506      2.0228       25.7186      47.9797      44.6391      909.6353     1101.4790    0.0252       0.1123       0.0000       
3500.1250    47.5673      21.9848      1.9911       26.1031      47.9765      44.5129      931.3340     1133.0592    0.0252       0.1150       0.0000       
3500.2500    47.6129      22.0515      1.9593       24.4927      48.0377      44.3872      967.0732     1160.2068    0.0257       0.1035       0.0000       
3500.3750    47.5622      22.0866      1.9580       24.0211      47.9696      44.6420      1013.5497    1165.8169    0.0252       0.1002       0.0000       
3500.5000    47.5120      22.1210      2.0168       25.3563      47.9022      44.8968      1067.2301    1166.1492    0.0247       0.1097       0.0000       
3500.6250    47.3650      22.1556      2.0163       25.1703      47.7050      45.0248      1128.9818    1182.8706    0.0233       0.1084       0.0000       
3500.7500    47.1209      22.1909      2.1056       26.3155      47.3776      45.0260      1211.2109    1211.1172    0.0209       0.1165       0.0000       
3500.8750    46.9256      22.2253      2.1653       26.3195      47.1156      44.9640      1245.8395    1251.6686    0.0190       0.1166       0.0000       
3501.0000    47.0198      22.2287      2.2247       25.9443      47.2418      44.9015      1172.7896    1342.8336    0.0200       0.1139       0.0000       
3501.1250    47.3067      22.2322      2.2839       26.7081      47.6268      44.9027      1073.5034    1217.7294    0.0227       0.1193       0.0000       
3501.2500    47.4491      22.2343      2.3431       26.3325      47.8179      44.8402      973.5174     1125.0938    0.0241       0.1167       0.0000       
3501.3750    47.5920      22.2372      2.3423       25.1966      48.0096      44.8413      886.9757     1059.1243    0.0255       0.1085       0.0000       
3501.5000    47.6861      22.2404      2.3410       25.6762      48.1359      44.8425      862.7026     1074.3672    0.0264       0.1120       0.0000       
3501.6250    47.7802      22.2436      2.3094       24.1603      48.2621      44.9077      947.3928     1147.2197    0.0272       0.1011       0.0000       
