WELLNAME = well60
STDEP  =  3675.0000    
ENDEP  =  4820.0000    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3675.0000    51.0235      25.9876      34.9805      52.3972      20.3139      -99999.0000  -99999.0000  0.0471       156.1831     0.1784       17.8432      
3675.1250    50.8100      25.9760      36.3022      52.2226      20.4797      -99999.0000  -99999.0000  0.0452       156.3590     0.1879       18.7873      
3675.2500    51.1576      25.9640      33.3572      52.5067      20.5562      -99999.0000  -99999.0000  0.0483       156.5189     0.1668       16.6837      
3675.3750    51.4084      25.9648      31.5804      52.7117      20.6583      -99999.0000  -99999.0000  0.0505       156.6788     0.1541       15.4146      
3675.5000    51.3689      25.9405      31.1244      52.6794      20.8367      -99999.0000  -99999.0000  0.0502       156.8865     0.1509       15.0888      
3675.6250    51.0779      25.9162      33.0045      52.4416      20.9387      -99999.0000  -99999.0000  0.0476       157.0782     0.1643       16.4318      
3675.7500    50.8645      25.9042      34.7831      52.2672      21.0789      -99999.0000  -99999.0000  0.0457       157.2381     0.1770       17.7022      
3675.8750    50.6315      25.8801      33.7432      52.0768      21.2064      -99999.0000  -99999.0000  0.0436       157.4139     0.1696       16.9594      
3676.0000    50.3211      25.8684      33.1853      51.8231      21.3085      -99999.0000  -99999.0000  0.0408       157.5421     0.1656       16.5609      
3676.1250    50.1270      25.8560      32.6020      51.6644      21.4487      -99999.0000  -99999.0000  0.0390       157.6228     0.1614       16.1443      
3676.2500    50.4552      25.8315      34.2030      51.9327      21.5634      -99999.0000  -99999.0000  0.0420       157.5605     0.1729       17.2878      
3676.3750    50.8609      25.8200      35.2451      52.2642      21.6909      -99999.0000  -99999.0000  0.0457       157.2919     0.1803       18.0322      
3676.5000    51.2858      25.8208      35.8555      52.6115      21.8057      -99999.0000  -99999.0000  0.0494       156.8487     0.1847       18.4682      
3676.6250    51.5754      25.7962      35.7041      52.8482      21.9205      -99999.0000  -99999.0000  0.0520       156.3104     0.1836       18.3601      
3676.7500    52.0005      25.7592      38.0669      53.1956      22.0352      -99999.0000  -99999.0000  0.0557       155.7562     0.2005       20.0478      
3676.8750    52.5222      25.7348      40.2772      53.6219      22.1119      -99999.0000  -99999.0000  0.0000       155.2019     0.2163       21.6266      
3677.0000    52.9665      25.7231      42.2337      53.9851      22.1252      -99999.0000  -99999.0000  0.0000       154.6159     0.2302       23.0241      
3677.1250    53.4497      25.7240      44.0631      54.3800      21.9733      -99999.0000  -99999.0000  0.0000       153.8712     0.2433       24.3308      
3677.2500    53.6424      25.7248      43.6323      54.5374      21.7706      -99999.0000  -99999.0000  0.0000       153.1265     0.2402       24.0230      
3677.3750    52.8676      25.7258      41.6270      53.9042      21.4156      -99999.0000  -99999.0000  0.0000       152.3818     0.2259       22.5907      
3677.5000    52.1704      25.7271      39.6725      53.3344      21.1367      -99999.0000  -99999.0000  0.0572       151.6053     0.2119       21.1947      
3677.6250    51.5310      25.7281      37.4134      52.8119      20.8071      -99999.0000  -99999.0000  0.0516       150.7335     0.1958       19.5810      
3677.7500    50.9111      25.7288      37.5161      52.3053      20.4776      -99999.0000  -99999.0000  0.0461       149.6237     0.1965       19.6544      
3677.8750    50.4848      25.7297      37.0851      51.9569      20.2494      -99999.0000  -99999.0000  0.0423       148.5616     0.1935       19.3465      
3678.0000    50.8904      25.7306      34.8769      52.2884      19.9326      -99999.0000  -99999.0000  0.0459       147.6740     0.1777       17.7692      
3678.1250    51.2766      25.7317      32.8970      52.6040      19.8315      -99999.0000  -99999.0000  0.0494       146.8341     0.1635       16.3550      
3678.2500    51.6241      25.7453      31.2218      52.8880      19.8193      -99999.0000  -99999.0000  0.0524       146.0258     0.1516       15.1584      
3678.3750    51.8364      25.7588      31.5784      53.0615      19.8325      -99999.0000  -99999.0000  0.0543       145.5191     0.1541       15.4132      
3678.5000    52.1259      25.7724      32.7475      53.2981      19.8585      -99999.0000  -99999.0000  0.0568       145.4569     0.1625       16.2482      
3678.6250    52.3575      25.8116      32.0882      53.4874      19.8843      -99999.0000  -99999.0000  0.0588       145.6487     0.1578       15.7773      
3678.7500    52.6471      25.8379      33.3082      53.7240      19.9230      -99999.0000  -99999.0000  0.0613       145.9833     0.1665       16.6487      
