WELLNAME = well84
STDEP  =  3500.0000    
ENDEP  =  4555.9242    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3500.0000    49.6517      27.8355      27.1863      131.9212     1525.8712    172.1006     0.0000       306.6373     0.0000       
3500.1250    49.9179      27.7689      28.1893      130.6440     2310.8401    111.3907     0.0000       306.7719     0.0000       
3500.2500    50.5445      28.3123      30.6729      128.4885     3048.1160    112.2457     0.0000       306.6967     0.0000       
3500.3750    50.4459      28.8872      29.0222      124.9338     4013.1514    152.0286     0.0000       306.5816     0.0000       
3500.5000    50.2265      29.4306      27.0537      120.3609     3906.3794    157.1705     0.0000       306.5059     0.0000       
3500.6250    50.1036      30.2283      27.1841      117.3151     3814.7000    142.7652     0.0000       306.4308     0.0000       
3500.7500    50.1020      30.8353      25.7881      117.8309     3855.4319    132.6105     0.0000       306.3544     0.0000       
3500.8750    50.1485      29.9795      24.5826      116.4388     3788.5667    128.9663     0.0000       306.2396     0.0000       
3501.0000    50.1950      30.6817      24.9038      113.9011     4032.9023    135.6111     0.0000       306.1638     0.0000       
3501.1250    50.2416      31.0023      25.2885      113.9081     4477.5117    148.0051     0.0000       306.0494     0.0000       
3501.2500    50.4331      30.8779      24.8465      111.7528     4849.4658    205.5781     0.0000       305.9738     0.0000       
3501.3750    50.7212      31.5802      23.7046      108.5793     3934.6316    295.3591     0.0000       305.8579     0.0000       
3501.5000    51.0580      32.6323      23.5806      107.8231     3141.8472    513.5562     0.0000       305.7437     0.0000       
3501.6250    51.4426      32.5397      25.6831      105.1591     2281.7012    841.7491     0.0000       305.5891     0.0000       
3501.7500    51.5132      33.0827      25.1133      101.3497     1620.4457    707.8222     0.0000       305.4736     0.0000       
3501.8750    51.4146      33.5624      23.8443      99.3217      1687.7589    513.9644     0.0000       305.3983     0.0000       
3502.0000    51.2194      32.6431      22.8299      100.4735     2485.7178    372.8065     0.0000       305.3629     0.0000       
3502.1250    51.0001      31.2467      20.9888      107.0945     4554.7119    313.2401     0.0000       305.2872     0.0000       
3502.2500    50.4906      30.0727      20.6105      119.0575     7079.6123    502.6971     0.0000       305.2512     0.0000       
3502.3750    49.7879      28.9943      18.1967      126.0599     7171.4106    961.4070     0.0000       305.2560     0.0000       
3502.5000    49.6655      28.7109      18.0728      130.2641     7231.2139    1681.4183    0.0000       305.2594     0.0000       
3502.6250    50.1230      29.3498      16.6769      128.6176     7394.9609    1751.6367    0.0000       305.3435     0.0000       
3502.7500    50.5076      30.5289      19.0967      124.8089     7386.9326    1302.8029    0.0000       305.3073     0.0000       
3502.8750    50.2399      32.1214      19.4176      117.1839     7379.0356    796.7083     0.0000       305.2728     0.0000       
3503.0000    50.1414      32.0604      19.9295      112.6122     7636.4922    448.7529     0.0000       305.2357     0.0000       
3503.1250    50.2362      33.3032      21.1410      108.1670     7789.7095    344.6323     0.0000       305.2004     0.0000       
3503.2500    50.3793      33.8783      20.7626      104.1041     7665.0972    263.9707     0.0000       305.2443     0.0000       
3503.3750    50.4018      32.5138      19.3032      110.0888     6618.0405    208.7647     0.0000       305.2889     0.0000       
3503.5000    50.1823      31.7214      17.2076      115.6920     5268.4565    180.5325     0.0000       305.3320     0.0000       
3503.6250    50.0838      32.9960      18.2283      113.4097     4646.0493    195.5142     0.0000       305.4560     0.0000       
3503.7500    50.2271      34.1434      19.8213      109.4733     4968.6045    243.8293     0.0000       305.4995     0.0000       
3503.8750    50.0794      33.0969      21.0963      106.6823     5786.0161    280.4220     0.0000       305.5426     0.0000       
3504.0000    49.8366      32.2730      21.0995      112.0310     7741.9795    301.7995     0.0000       305.5480     0.0000       
3504.1250    49.6656      32.6571      19.8941      115.9807     7772.5176    314.1118     0.0000       305.6311     0.0000       
3504.2500    49.6638      31.8967      17.8625      117.1323     6528.9390    334.3712     0.0000       305.6353     0.0000       
3504.3750    49.8068      32.6625      19.8370      116.2491     5130.4194    396.0967     0.0000       305.6783     0.0000       
3504.5000    50.0227      33.5555      18.8227      113.5846     3268.4553    603.3884     0.0000       305.7229     0.0000       
3504.6250    50.3835      33.3039      19.2072      109.2675     3122.0857    503.5626     0.0000       305.7271     0.0000       
3504.7500    50.6473      32.1936      18.8288      112.7084     3616.4158    445.2567     0.0000       305.7701     0.0000       
3504.8750    50.7180      30.7020      20.0402      116.9123     4280.0171    410.7424     0.0000       305.8137     0.0000       
3505.0000    50.7402      31.5633      20.1706      116.0283     7620.3110    323.5827     0.0000       305.8182     0.0000       
3505.1250    50.6898      32.5516      20.0467      113.4918     7629.8364    262.0970     0.0000       305.8220     0.0000       
3505.2500    50.5673      31.9501      19.2229      114.7706     7290.6128    274.7274     0.0000       305.8268     0.0000       
3505.3750    50.3480      32.2389      21.0066      116.3044     6686.1382    299.7464     0.0000       305.8708     0.0000       
3505.5000    50.1771      33.1001      21.5821      114.9118     5849.1973    305.0141     0.0000       305.9138     0.0000       
3505.6250    50.1752      33.3254      23.0478      112.3746     5653.0156    286.3123     0.0000       305.9582     0.0000       
3505.7500    50.3425      32.8512      23.2417      109.3295     5899.5586    268.8012     0.0000       306.0013     0.0000       
3505.8750    50.5341      33.3309      23.4992      110.3539     6740.6768    239.4205     0.0000       306.0061     0.0000       
3506.0000    50.8224      33.8738      23.8200      107.5624     7969.1367    217.1345     0.0000       306.0104     0.0000       
3506.1250    51.1104      33.6222      22.4879      105.2804     8387.1504    206.0300     0.0000       305.8948     0.0000       
3506.2500    51.1810      34.0065      22.2368      104.7787     8437.2070    191.5521     0.0000       305.8590     0.0000       
3506.3750    51.0099      34.0410      22.1128      102.6239     8477.7354    213.1704     0.0000       305.7833     0.0000       
3506.5000    50.8632      33.4396      22.5611      102.2487     8488.5098    179.5021     0.0000       305.7086     0.0000       
3506.6250    50.7163      33.2832      22.7547      103.2732     8449.6094    317.7572     0.0000       305.6724     0.0000       
3506.7500    50.5694      32.1097      20.9776      103.7889     8312.8105    1629.4045    0.0000       305.5974     0.0000       
3506.8750    50.6402      31.3812      19.5819      102.6515     7523.1440    3233.6528    0.0000       305.4817     0.0000       
3507.0000    50.8559      31.9562      19.7756      99.8602      6078.3623    3915.5625    0.0000       305.3672     0.0000       
3507.1250    50.9747      32.8489      21.4962      96.6881      4655.2646    3399.2217    0.0000       305.2520     0.0000       
3507.2500    50.7553      33.5828      20.7993      96.4408      3548.3936    2579.3982    0.0000       305.1370     0.0000       
3507.3750    50.4635      32.2504      21.7562      101.0259     2734.7954    947.0106     0.0000       305.0615     0.0000       
3507.5000    50.2682      29.9324      21.8230      123.4140     2617.3730    428.3495     0.0000       304.9862     0.0000       
3507.6250    50.1941      27.9956      20.6182      132.3232     2463.1538    219.9406     0.0000       304.9508     0.0000       
3507.7500    50.0471      27.9348      18.5864      133.7282     2237.5688    1717.8346    0.0000       304.9538     0.0000       
3507.8750    49.8036      28.0012      17.6995      133.4808     1993.6754    2913.1267    0.0000       304.8398     0.0000       
3508.0000    49.2701      27.9404      19.5466      133.1062     1954.5682    3975.7764    0.0000       304.7636     0.0000       
3508.1250    49.2199      27.7839      18.5961      132.3516     1843.7271    3330.2415    0.0000       304.7279     0.0000       
3508.2500    49.2663      27.5642      18.7897      131.8485     1700.5049    2441.8291    0.0000       304.6528     0.0000       
3508.3750    49.3616      27.5356      17.0127      131.6004     1512.7809    1823.2397    0.0000       304.6168     0.0000       
3508.5000    49.4562      27.6652      16.2529      131.4802     1278.3136    1197.3248    0.0000       304.5815     0.0000       
3508.6250    49.5993      27.8592      16.0015      131.4871     1152.5125    831.0351     0.0000       304.5062     0.0000       
3508.7500    49.7427      27.9565      17.5307      131.8762     987.9585     678.5130     0.0000       304.4312     0.0000       
3508.8750    49.8858      28.0235      17.3431      132.3918     952.9415     575.8232     0.0000       304.4345     0.0000       
3509.0000    49.9564      28.0580      16.5834      132.7808     1020.4759    555.6436     0.0000       304.3592     0.0000       
3509.1250    49.8820      28.1245      15.2515      133.1678     1187.9349    576.9239     0.0000       304.3234     0.0000       
3509.2500    49.7110      28.1267      13.6649      133.5556     1773.9618    585.1500     0.0000       304.2883     0.0000       
3509.3750    49.5158      28.2244      14.4311      133.9446     4793.4971    597.7061     0.0000       304.2527     0.0000       
3509.5000    49.3448      28.3230      13.7350      134.2045     6929.6460    600.5546     0.0000       304.2166     0.0000       
3509.6250    49.2705      28.3893      14.8826      134.4657     8186.2310    597.7979     0.0000       304.2208     0.0000       
3509.7500    49.2202      28.4236      15.0130      134.4740     8206.2363    579.2728     0.0000       304.2250     0.0000       
3509.8750    49.2185      28.4583      15.5881      134.2252     8216.6250    576.5934     0.0000       304.2296     0.0000       
3510.0000    49.2647      28.3975      15.9728      133.9778     8246.4336    599.4341     0.0000       304.2329     0.0000       
3510.1250    49.2632      28.4004      16.7393      133.0940     8266.5947    619.4672     0.0000       304.3166     0.0000       
3510.2500    49.2613      28.3709      16.6786      133.3552     8248.0488    625.3521     0.0000       304.4005     0.0000       
3510.3750    49.3078      28.2788      15.8550      134.1250     8229.5039    611.6537     0.0000       304.4046     0.0000       
3510.5000    49.2576      28.2491      15.1589      134.8949     8201.3730    588.4833     0.0000       304.4883     0.0000       
3510.6250    49.2316      28.2205      16.6244      135.5375     8078.0811    568.1917     0.0000       304.4921     0.0000       
3510.7500    49.2057      28.1915      16.5640      136.1795     7755.3916    549.2438     0.0000       304.5355     0.0000       
3510.8750    49.1311      28.1621      16.5672      136.4407     7557.2129    527.2102     0.0000       304.5795     0.0000       
3511.0000    49.1054      28.1649      17.3969      136.4476     6876.9468    503.6804     0.0000       304.6633     0.0000       
3511.1250    49.1033      28.1675      17.1455      136.3274     5585.9521    479.5071     0.0000       304.7070     0.0000       
3511.2500    49.1497      28.1382      16.8944      135.8250     3573.5791    452.8047     0.0000       304.7903     0.0000       
3511.3750    49.2444      28.0773      18.3598      135.1969     2699.9927    417.7071     0.0000       304.9136     0.0000       
3511.5000    49.3880      28.0488      20.7788      134.8216     2339.9524    385.6542     0.0000       304.9975     0.0000       
3511.6250    49.5068      28.0513      20.6549      134.3200     2175.9458    361.1828     0.0000       305.0814     0.0000       
3511.7500    49.6016      28.0543      21.8659      134.1998     1967.8938    341.8106     0.0000       305.2048     0.0000       
3511.8750    49.7207      28.0568      21.7417      133.9517     1632.1758    335.4790     0.0000       305.2876     0.0000       
3512.0000    49.7190      28.0593      20.4099      133.4507     1068.3950    330.0476     0.0000       305.3719     0.0000       
3512.1250    49.7170      28.1256      20.9217      133.4570     801.2075     317.5758     0.0000       305.4551     0.0000       
3512.2500    49.7392      28.1281      19.9077      133.4646     581.6790     303.7513     0.0000       305.5387     0.0000       
3512.3750    49.8826      28.0673      20.6735      133.2158     394.0302     283.8445     0.0000       305.6222     0.0000       
3512.5000    50.2674      28.0068      21.1852      132.3328     258.8523     260.8685     0.0000       305.7056     0.0000       
3512.6250    50.5314      27.8511      20.4892      132.0861     205.4316     225.7730     0.0000       305.8287     0.0000       
3512.7500    50.5776      27.7896      21.6366      132.8552     186.7798     199.1933     0.0000       305.7537     0.0000       
3512.8750    50.5275      27.7287      21.7034      135.1506     177.3720     190.7482     0.0000       305.5989     0.0000       
3513.0000    50.5014      27.6676      21.8334      135.6654     185.9239     197.1406     0.0000       305.4835     0.0000       
3513.1250    50.4756      27.6386      22.5994      135.6723     189.9176     197.6203     0.0000       305.3687     0.0000       
3513.2500    50.4495      27.6097      21.7127      134.7892     208.2483     205.2895     0.0000       305.3329     0.0000       
3513.3750    50.4233      27.5806      22.4787      134.2883     235.9933     233.6206     0.0000       305.2974     0.0000       
3513.5000    50.4213      27.5832      22.6726      134.2945     237.9289     242.1510     0.0000       305.3018     0.0000       
3513.6250    50.4438      27.6181      22.8026      134.4279     224.1707     237.6808     0.0000       305.2261     0.0000       
3513.7500    50.4661      27.5888      21.4709      134.1805     207.2442     224.4516     0.0000       305.1504     0.0000       
3513.8750    50.5127      27.5917      21.4741      133.1704     190.9257     203.6972     0.0000       305.0363     0.0000       
