WELLNAME = well92
STDEP  =  3000.0000    
ENDEP  =  4553.7051    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR_DM, GR, K, MSFL, PE, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH1

#DEPTH       AC           CAL          CGR_DM       GR           K            MSFL         PE           R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH1         
3000.0000    -99999.0000  23.7679      0.0000       72.7368      0.0000       0.0000       0.0000       9.4922       -99999.0000  -99999.0000  0.0000       0.0000       74.8783      0.0000       0.0000       0.0000       
3000.1250    -99999.0000  23.7749      0.0000       70.4808      0.0000       0.0000       0.0000       9.0580       -99999.0000  -99999.0000  0.0000       0.0000       74.6673      0.0000       0.0000       0.0000       
3000.2500    -99999.0000  23.7741      0.0000       68.5544      0.0000       0.0000       0.0000       9.0513       -99999.0000  -99999.0000  0.0000       0.0000       74.2938      0.0000       0.0000       0.0000       
3000.3750    -99999.0000  23.7733      0.0000       64.5249      0.0000       0.0000       0.0000       9.0700       -99999.0000  -99999.0000  0.0000       0.0000       74.0631      0.0000       0.0000       0.0000       
3000.5000    -99999.0000  23.7726      0.0000       60.1407      0.0000       0.0000       0.0000       8.9745       -99999.0000  -99999.0000  0.0000       0.0000       73.9199      0.0000       0.0000       0.0000       
3000.6250    -99999.0000  23.7720      0.0000       57.3021      0.0000       0.0000       0.0000       8.6194       -99999.0000  -99999.0000  0.0000       0.0000       73.7449      0.0000       0.0000       0.0000       
3000.7500    -99999.0000  23.7711      0.0000       54.8942      0.0000       0.0000       0.0000       8.1376       -99999.0000  -99999.0000  0.0000       0.0000       73.5300      0.0000       0.0000       0.0000       
3000.8750    -99999.0000  23.7705      0.0000       52.1823      0.0000       0.0000       0.0000       7.4911       -99999.0000  -99999.0000  0.0000       0.0000       73.3072      0.0000       0.0000       0.0000       
3001.0000    -99999.0000  23.7698      0.0000       48.8624      0.0000       0.0000       0.0000       7.6680       -99999.0000  -99999.0000  0.0000       0.0000       73.1559      0.0000       0.0000       0.0000       
3001.1250    -99999.0000  23.8069      0.0000       45.7957      0.0000       0.0000       0.0000       7.8324       -99999.0000  -99999.0000  0.0000       0.0000       72.9570      0.0000       0.0000       0.0000       
3001.2500    -99999.0000  23.8062      0.0000       42.6023      0.0000       0.0000       0.0000       7.9777       -99999.0000  -99999.0000  0.0000       0.0000       72.7579      0.0000       0.0000       0.0000       
3001.3750    -99999.0000  23.8182      0.0000       40.0170      0.0000       0.0000       0.0000       7.7366       -99999.0000  -99999.0000  0.0000       0.0000       72.5668      0.0000       0.0000       0.0000       
3001.5000    -99999.0000  23.8173      0.0000       38.3695      0.0000       0.0000       0.0000       7.4258       -99999.0000  -99999.0000  0.0000       0.0000       72.4473      0.0000       0.0000       0.0000       
3001.6250    -99999.0000  23.8167      0.0000       36.9244      0.0000       0.0000       0.0000       6.9186       -99999.0000  -99999.0000  0.0000       0.0000       72.2801      0.0000       0.0000       0.0000       
3001.7500    -99999.0000  23.8034      0.0000       35.4541      0.0000       0.0000       0.0000       6.7092       -99999.0000  -99999.0000  0.0000       0.0000       72.0889      0.0000       0.0000       0.0000       
3001.8750    -99999.0000  23.7773      0.0000       33.8063      0.0000       0.0000       0.0000       6.9748       -99999.0000  -99999.0000  0.0000       0.0000       71.8979      0.0000       0.0000       0.0000       
3002.0000    -99999.0000  23.7637      0.0000       32.2093      0.0000       0.0000       0.0000       7.1961       -99999.0000  -99999.0000  0.0000       0.0000       71.7307      0.0000       0.0000       0.0000       
3002.1250    -99999.0000  23.7504      0.0000       30.7642      0.0000       0.0000       0.0000       7.4365       -99999.0000  -99999.0000  0.0000       0.0000       71.5000      0.0000       0.0000       0.0000       
3002.2500    -99999.0000  23.7371      0.0000       28.7871      0.0000       0.0000       0.0000       7.7021       -99999.0000  -99999.0000  0.0000       0.0000       71.3408      0.0000       0.0000       0.0000       
3002.3750    -99999.0000  23.6984      0.0000       27.6208      0.0000       0.0000       0.0000       8.0374       -99999.0000  -99999.0000  0.0000       0.0000       71.1658      0.0000       0.0000       0.0000       
3002.5000    -99999.0000  23.6851      0.0000       25.8718      0.0000       0.0000       0.0000       8.4234       -99999.0000  -99999.0000  0.0000       0.0000       71.0224      0.0000       0.0000       0.0000       
3002.6250    -99999.0000  23.6841      0.0000       24.2746      0.0000       0.0000       0.0000       8.7018       -99999.0000  -99999.0000  0.0000       0.0000       70.7758      0.0000       0.0000       0.0000       
